entry_time,exit_time,entry_price,exit_price,qty,reason,bars_held,be_arm_time,be_arm_bar,pnl_points,pnl_dollars,session_date,qqq_gamma_sign
2020-12-01 19:00:00-05:00,2020-12-01 21:00:00-05:00,12442.75,12415.25,1,SL Yellow,6,,,-27.5,-550.0,2020-12-01,
2020-12-02 19:00:00-05:00,2020-12-02 23:20:00-05:00,12467.5,12467.0,2,SL Yellow,13,,,-0.5,-20.0,2020-12-02,-1.0
2020-12-03 19:00:00-05:00,2020-12-04 04:20:00-05:00,12485.5,12504.0,1,SL Yellow,28,2020-12-04 04:00:00-05:00,27.0,18.5,370.0,2020-12-03,-1.0
2020-12-07 19:00:00-05:00,2020-12-07 22:00:00-05:00,12566.5,12558.25,1,SL Yellow,9,,,-8.25,-165.0,2020-12-07,-1.0
2020-12-08 19:00:00-05:00,2020-12-08 20:40:00-05:00,12659.75,12638.0,2,SL Yellow,5,,,-21.75,-870.0,2020-12-08,-1.0
2020-12-09 19:00:00-05:00,2020-12-09 22:00:00-05:00,12365.75,12336.0,1,SL Yellow,9,,,-29.75,-595.0,2020-12-09,-1.0
2020-12-10 19:00:00-05:00,2020-12-10 21:20:00-05:00,12406.0,12369.25,2,SL Yellow,7,,,-36.75,-1470.0,2020-12-10,-1.0
2020-12-13 19:00:00-05:00,2020-12-14 00:00:00-05:00,12412.25,12405.0,1,SL Yellow,15,,,-7.25,-145.0,2020-12-13,-1.0
2020-12-14 19:00:00-05:00,2020-12-14 21:20:00-05:00,12476.5,12448.0,2,SL Yellow,7,,,-28.5,-1140.0,2020-12-14,-1.0
2020-12-15 19:00:00-05:00,2020-12-16 00:00:00-05:00,12588.5,12608.25,1,SL Yellow,15,,,19.75,395.0,2020-12-15,-1.0
2020-12-16 19:00:00-05:00,2020-12-17 04:40:00-05:00,12677.75,12731.0,1,SL Yellow,29,,,53.25,1065.0,2020-12-16,-1.0
2020-12-17 19:00:00-05:00,2020-12-17 20:40:00-05:00,12745.25,12724.75,1,SL Yellow,5,,,-20.5,-410.0,2020-12-17,1.0
2020-12-20 19:00:00-05:00,2020-12-21 02:00:00-05:00,12739.0,12739.0,2,BE Stop,21,2020-12-21 01:40:00-05:00,20.0,0.0,0.0,2020-12-20,1.0
2020-12-21 19:00:00-05:00,2020-12-21 23:20:00-05:00,12703.25,12694.5,1,SL Yellow,13,,,-8.75,-175.0,2020-12-21,1.0
2020-12-22 19:00:00-05:00,2020-12-22 19:40:00-05:00,12714.5,12647.25,2,SL Yellow,2,,,-67.25,-2690.0,2020-12-22,-1.0
2020-12-23 19:00:00-05:00,2020-12-23 20:40:00-05:00,12653.5,12653.5,1,BE Stop,5,2020-12-23 20:20:00-05:00,4.0,0.0,0.0,2020-12-23,-1.0
2020-12-27 19:00:00-05:00,2020-12-28 03:00:00-05:00,12731.5,12772.0,1,SL Yellow,24,2020-12-28 01:20:00-05:00,19.0,40.5,810.0,2020-12-27,-1.0
2020-12-28 19:00:00-05:00,2020-12-29 04:40:00-05:00,12859.25,12887.0,1,SL Yellow,29,2020-12-28 23:20:00-05:00,13.0,27.75,555.0,2020-12-28,
