date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2020-12-01,LONG,2020-12-01 10:30:00-05:00,2020-12-01 10:50:00-05:00,12404.25,12376.25,SL_YELLOW,-28.0,1,-54.25,3.5,21.25300601762707,10,50.25,IS,2020
2020-12-03,LONG,2020-12-03 10:30:00-05:00,2020-12-03 11:10:00-05:00,12517.5,12463.5,SL_YELLOW,-54.0,2,-55.5,13.0,17.95690789290434,10,42.0,IS,2020
2020-12-04,LONG,2020-12-04 13:10:00-05:00,2020-12-04 13:30:00-05:00,12523.75,12516.5,SL_YELLOW,-7.25,1,-11.0,2.0,19.767914046452205,13,48.75,IS,2020
2020-12-07,LONG,2020-12-07 10:10:00-05:00,2020-12-07 16:10:00-05:00,12588.75,12595.75,FORCE_CLOSE,7.0,18,-41.75,23.5,16.489963818178644,10,64.75,IS,2020
2020-12-08,LONG,2020-12-08 13:30:00-05:00,2020-12-08 16:10:00-05:00,12619.5,12642.5,FORCE_CLOSE,23.0,8,-0.5,33.0,21.831989631562067,13,72.0,IS,2020
2020-12-09,SHORT,2020-12-09 10:30:00-05:00,2020-12-09 10:50:00-05:00,12610.75,12615.5,SL_YELLOW,-4.75,1,-11.75,22.75,15.958192799746271,10,59.5,IS,2020
2020-12-10,LONG,2020-12-10 10:30:00-05:00,2020-12-10 12:50:00-05:00,12387.25,12364.5,SL_YELLOW,-22.75,7,-24.0,60.5,32.58553107968564,10,138.75,IS,2020
2020-12-11,SHORT,2020-12-11 12:50:00-05:00,2020-12-11 13:10:00-05:00,12254.25,12286.75,SL_YELLOW,-32.5,1,-35.5,4.25,28.52035804096812,12,150.25,IS,2020
2020-12-14,LONG,2020-12-14 10:10:00-05:00,2020-12-14 16:10:00-05:00,12512.75,12472.5,FORCE_CLOSE,-40.25,18,-61.5,36.75,20.63924046696515,10,65.5,IS,2020
2020-12-15,LONG,2020-12-15 15:10:00-05:00,2020-12-15 16:10:00-05:00,12576.75,12603.25,FORCE_CLOSE,26.5,3,-5.5,32.0,20.986962171798876,15,146.5,IS,2020
2020-12-16,LONG,2020-12-16 15:10:00-05:00,2020-12-16 16:10:00-05:00,12677.25,12676.0,FORCE_CLOSE,-1.25,3,-11.0,27.5,22.150505617375387,15,69.0,IS,2020
2020-12-18,SHORT,2020-12-18 11:50:00-05:00,2020-12-18 12:30:00-05:00,12697.5,12713.0,SL_YELLOW,-15.5,2,-17.0,12.5,22.73419055665866,11,82.75,IS,2020
2020-12-24,LONG,2020-12-24 10:10:00-05:00,2020-12-24 11:30:00-05:00,12707.5,12673.75,SL_YELLOW,-33.75,4,-35.5,16.5,12.936086909143482,10,46.5,IS,2020
2020-12-28,LONG,2020-12-28 12:50:00-05:00,2020-12-28 16:10:00-05:00,12829.25,12834.25,FORCE_CLOSE,5.0,10,-5.25,26.25,17.080609210769634,12,172.25,IS,2020
2020-12-29,SHORT,2020-12-29 14:50:00-05:00,2020-12-29 15:30:00-05:00,12824.25,12858.5,SL_YELLOW,-34.25,2,-39.75,0.75,22.448709030499227,14,57.5,IS,2020
2020-12-31,SHORT,2020-12-31 12:10:00-05:00,2020-12-31 14:50:00-05:00,12814.75,12845.0,SL_YELLOW,-30.25,8,-34.0,10.25,14.634271903969118,12,30.25,IS,2020
