date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2020-12-01,LONG,2020-12-01 10:30:00-05:00,2020-12-01 11:10:00-05:00,12404.25,12411.75,TP,7.5,2,-54.25,20.25,21.25300601762707,10,50.25,IS,2020
2020-12-03,LONG,2020-12-03 10:30:00-05:00,2020-12-03 10:50:00-05:00,12517.5,12521.989226973226,TP,4.489226973226323,1,-21.75,13.0,17.95690789290434,10,42.0,IS,2020
2020-12-04,LONG,2020-12-04 13:10:00-05:00,2020-12-04 16:10:00-05:00,12523.75,12529.0,TP,5.25,9,-31.25,12.0,19.767914046452205,13,48.75,IS,2020
2020-12-07,LONG,2020-12-07 10:10:00-05:00,2020-12-07 13:50:00-05:00,12588.75,12554.5,SL_YELLOW,-34.25,11,-41.75,23.5,16.489963818178644,10,64.75,IS,2020
2020-12-08,LONG,2020-12-08 13:30:00-05:00,2020-12-08 13:50:00-05:00,12619.5,12632.25,TP,12.75,1,-0.5,16.5,21.831989631562067,13,72.0,IS,2020
2020-12-09,SHORT,2020-12-09 10:30:00-05:00,2020-12-09 10:50:00-05:00,12610.75,12601.5,TP,9.25,1,-11.75,22.75,15.958192799746271,10,59.5,IS,2020
2020-12-10,LONG,2020-12-10 10:30:00-05:00,2020-12-10 10:50:00-05:00,12387.25,12405.75,TP,18.5,1,-8.5,40.25,32.58553107968564,10,138.75,IS,2020
2020-12-11,SHORT,2020-12-11 12:50:00-05:00,2020-12-11 16:10:00-05:00,12254.25,12371.0,SL_YELLOW,-116.75,10,-125.25,4.25,28.52035804096812,12,150.25,IS,2020
2020-12-14,LONG,2020-12-14 10:10:00-05:00,2020-12-14 10:30:00-05:00,12512.75,12539.5,TP,26.75,1,-8.25,32.75,20.63924046696515,10,65.5,IS,2020
2020-12-15,LONG,2020-12-15 15:10:00-05:00,2020-12-15 15:30:00-05:00,12576.75,12583.25,TP,6.5,1,-5.5,17.75,20.986962171798876,15,146.5,IS,2020
2020-12-16,LONG,2020-12-16 15:10:00-05:00,2020-12-16 15:30:00-05:00,12677.25,12682.787626404344,TP,5.537626404344337,1,-7.5,18.5,22.150505617375387,15,69.0,IS,2020
2020-12-18,SHORT,2020-12-18 11:50:00-05:00,2020-12-18 12:10:00-05:00,12697.5,12691.816452360836,TP,5.683547639164317,1,-7.25,12.5,22.73419055665866,11,82.75,IS,2020
2020-12-24,LONG,2020-12-24 10:10:00-05:00,2020-12-24 10:50:00-05:00,12707.5,12724.0,TP,16.5,2,-11.5,16.5,12.936086909143482,10,46.5,IS,2020
2020-12-28,LONG,2020-12-28 12:50:00-05:00,2020-12-28 13:10:00-05:00,12829.25,12833.520152302692,TP,4.270152302691713,1,-1.25,10.5,17.080609210769634,12,172.25,IS,2020
2020-12-29,SHORT,2020-12-29 14:50:00-05:00,2020-12-29 16:10:00-05:00,12824.25,12846.75,FORCE_CLOSE,-22.5,4,-39.75,0.75,22.448709030499227,14,57.5,IS,2020
2020-12-31,SHORT,2020-12-31 12:10:00-05:00,2020-12-31 15:10:00-05:00,12814.75,12853.0,SL_YELLOW,-38.25,9,-40.5,10.25,14.634271903969118,12,30.25,IS,2020
2021-01-04,SHORT,2021-01-04 11:10:00-05:00,2021-01-04 12:10:00-05:00,12704.0,12583.75,TP,120.25,3,-33.25,133.5,32.636613305825186,11,134.5,IS,2021
2021-01-05,LONG,2021-01-05 10:10:00-05:00,2021-01-05 14:50:00-05:00,12766.0,12797.25,TP,31.25,14,-78.0,36.0,30.736442895861238,10,115.5,IS,2021
2021-01-07,LONG,2021-01-07 10:10:00-05:00,2021-01-07 16:10:00-05:00,12872.75,12923.75,FORCE_CLOSE,51.0,18,-7.75,86.25,33.14013222925634,10,115.5,IS,2021
2021-01-08,LONG,2021-01-08 11:10:00-05:00,2021-01-08 12:30:00-05:00,13040.5,13059.0,TP,18.5,4,-41.5,25.25,32.531578578465215,11,104.0,IS,2021
2021-01-11,SHORT,2021-01-11 14:10:00-05:00,2021-01-11 15:30:00-05:00,12935.5,12901.0,TP,34.5,4,-10.0,62.5,31.32130958662098,14,152.75,IS,2021
2021-01-12,SHORT,2021-01-12 12:30:00-05:00,2021-01-12 12:50:00-05:00,12814.5,12806.117909671639,TP,8.3820903283613,1,-15.25,18.5,33.528361313444336,12,93.5,IS,2021
2021-01-13,LONG,2021-01-13 11:10:00-05:00,2021-01-13 11:50:00-05:00,12977.5,12993.25,TP,15.75,2,-30.75,15.75,27.829248619819325,11,114.25,IS,2021
2021-01-14,SHORT,2021-01-14 15:50:00-05:00,2021-01-14 16:10:00-05:00,12919.25,12898.5,TP,20.75,1,-3.25,38.25,26.529581567218635,15,92.5,IS,2021
2021-01-15,SHORT,2021-01-15 10:30:00-05:00,2021-01-15 16:10:00-05:00,12792.0,12776.5,FORCE_CLOSE,15.5,17,-95.0,48.5,34.25737698753974,10,98.0,IS,2021
2021-01-19,LONG,2021-01-19 13:30:00-05:00,2021-01-19 13:50:00-05:00,12968.0,12976.5,TP,8.5,1,-6.5,16.75,23.422581108820943,13,138.25,IS,2021
2021-01-20,LONG,2021-01-20 10:10:00-05:00,2021-01-20 11:30:00-05:00,13206.5,13252.25,TP,45.75,4,-1.25,48.5,19.943781297415843,10,121.5,IS,2021
2021-01-21,LONG,2021-01-21 15:10:00-05:00,2021-01-21 15:50:00-05:00,13406.25,13419.25,TP,13.0,2,-14.5,17.25,22.551888891739843,15,104.0,IS,2021
2021-01-25,LONG,2021-01-25 10:10:00-05:00,2021-01-25 10:50:00-05:00,13530.5,13461.0,SL_YELLOW,-69.5,2,-71.0,9.0,18.63753879762899,10,139.25,IS,2021
2021-01-26,LONG,2021-01-26 13:50:00-05:00,2021-01-26 16:10:00-05:00,13508.25,13522.0,TP,13.75,7,-39.25,88.25,27.839399402396644,13,116.75,IS,2021
2021-01-27,SHORT,2021-01-27 10:10:00-05:00,2021-01-27 10:30:00-05:00,13345.25,13331.81627334833,TP,13.43372665167044,1,-26.25,39.25,53.73490660668431,10,234.5,IS,2021
2021-01-28,LONG,2021-01-28 10:10:00-05:00,2021-01-28 10:30:00-05:00,13210.25,13244.25,TP,34.0,1,-2.75,68.75,58.4092878313336,10,283.0,IS,2021
2021-01-29,SHORT,2021-01-29 13:10:00-05:00,2021-01-29 13:30:00-05:00,12887.75,12864.5,TP,23.25,1,-48.75,56.25,72.18194715472731,13,254.5,IS,2021
2021-02-01,LONG,2021-02-01 11:10:00-05:00,2021-02-01 11:30:00-05:00,13097.0,13152.5,TP,55.5,1,-12.0,60.0,46.773104550902694,11,356.75,IS,2021
2021-02-02,LONG,2021-02-02 10:10:00-05:00,2021-02-02 10:30:00-05:00,13393.0,13418.75,TP,25.75,1,-17.0,44.5,26.62888663969496,10,148.0,IS,2021
2021-02-03,SHORT,2021-02-03 10:50:00-05:00,2021-02-03 16:10:00-05:00,13422.75,13399.5,TP,23.25,16,-74.25,36.0,32.43613247919363,10,108.75,IS,2021
2021-02-04,LONG,2021-02-04 12:30:00-05:00,2021-02-04 12:50:00-05:00,13468.0,13474.391398501319,TP,6.39139850131869,1,0.0,17.0,25.565594005276065,12,118.25,IS,2021
2021-02-05,LONG,2021-02-05 13:10:00-05:00,2021-02-05 13:30:00-05:00,13626.75,13634.0,TP,7.25,1,-10.75,11.75,23.416813120902397,13,90.5,IS,2021
2021-02-09,LONG,2021-02-09 10:30:00-05:00,2021-02-09 10:50:00-05:00,13714.75,13718.677026832602,TP,3.9270268326017685,1,-2.75,20.5,15.708107330410629,10,64.0,IS,2021
2021-02-10,SHORT,2021-02-10 10:50:00-05:00,2021-02-10 14:50:00-05:00,13549.5,13686.5,SL_YELLOW,-137.0,12,-139.25,7.0,32.52800853588141,10,90.25,IS,2021
2021-02-12,LONG,2021-02-12 15:50:00-05:00,2021-02-12 16:10:00-05:00,13782.75,13812.0,FORCE_CLOSE,29.25,1,-0.5,31.75,20.56238103560286,15,78.75,IS,2021
2021-02-16,SHORT,2021-02-16 11:30:00-05:00,2021-02-16 12:10:00-05:00,13784.0,13743.25,TP,40.75,2,-20.5,66.5,24.23679955843712,11,69.25,IS,2021
2021-02-17,SHORT,2021-02-17 11:30:00-05:00,2021-02-17 14:10:00-05:00,13578.25,13686.75,SL_YELLOW,-108.5,8,-111.25,35.25,37.4282781621066,11,158.75,IS,2021
2021-02-18,SHORT,2021-02-18 10:30:00-05:00,2021-02-18 13:30:00-05:00,13496.25,13601.25,SL_YELLOW,-105.0,9,-112.25,28.25,30.604545866445758,10,197.0,IS,2021
2021-02-22,SHORT,2021-02-22 10:50:00-05:00,2021-02-22 11:10:00-05:00,13348.75,13334.25,TP,14.5,1,-0.75,67.0,38.025552393500845,10,264.5,IS,2021
2021-02-25,SHORT,2021-02-25 11:50:00-05:00,2021-02-25 12:50:00-05:00,13009.0,12915.25,TP,93.75,3,-39.25,98.25,61.81219033289086,11,207.75,IS,2021
2021-02-26,LONG,2021-02-26 12:10:00-05:00,2021-02-26 16:10:00-05:00,13052.25,12874.5,FORCE_CLOSE,-177.75,12,-195.75,37.25,84.8580792585663,12,318.5,IS,2021
2021-03-01,LONG,2021-03-01 10:50:00-05:00,2021-03-01 12:10:00-05:00,13174.75,13223.0,TP,48.25,4,-7.0,54.75,40.2455342418812,10,186.75,IS,2021
