============================================================================================================================================================================================================================
VA-REVERT HOUR-FILTER SWEEP  (cap=75.0%, IS-only hour PF >= 0.95, n>=200, OOS_n>=20, coverage>=50%, gap<=6mo)
============================================================================================================================================================================================================================
Found 35 qualifying configs

TOP 20 BY min(IS_PF, OOS_PF):
 N  sig_D  conf_D  sl_mult     keep_hours  n_total  n_is  n_oos  wr_all  pf_is  pf_oos  min_pf  total_is  total_oos  total_all  months_with_trades  coverage_pct  max_gap_months  median_trades_per_month
10    150       0     0.50 10,12,13,15,16      337   274     63   27.60   1.28    1.22    1.22    753.39     179.69     933.08                  61         95.31               2                     5.00
20      0     150     1.00        9,11,12      289   229     60   42.21   1.25    1.21    1.21   1064.49     349.79    1414.28                  60         93.75               3                     4.50
20      0     100     1.25       11,12,16      236   180     56   42.80   1.19    1.33    1.19    631.91     343.41     975.32                  59         93.65               3                     4.00
15      0     150     1.00     9,11,12,16      289   242     47   43.60   1.15    2.17    1.15    618.56    1026.25    1644.81                  59         92.19               3                     4.00
20      0     150     0.75        9,11,12      310   248     62   35.81   1.15    1.28    1.15    584.90     412.54     997.44                  60         93.75               3                     5.00
10     50     100     1.00     9,11,12,16      269   229     40   44.24   1.12    2.00    1.12    470.99     530.92    1001.91                  62         96.88               2                     4.00
15    100     100     1.00        9,10,11      319   267     52   41.07   1.16    1.11    1.11    786.37     158.80     945.16                  61         95.31               3                     5.00
20      0     100     0.75       11,12,16      286   218     68   33.22   1.10    1.36    1.10    335.64     387.42     723.06                  59         93.65               3                     4.00
15    150      50     0.50       10,12,15      237   194     43   24.47   1.10    1.25    1.10    247.94     164.15     412.08                  59         93.65               2                     3.00
15      0     150     0.75    10,11,12,16      332   276     56   32.53   1.10    1.57    1.10    422.91     643.05    1065.96                  62         96.88               3                     5.00
10      0      50     0.75          11,16      303   235     68   36.30   1.10    1.26    1.10    278.14     244.15     522.29                  62         96.88               2                     4.00
 5     50       0     0.75          11,12      323   257     66   30.96   1.10    1.26    1.10    354.26     351.88     706.14                  59         92.19               3                     5.00
10      0     100     1.00     9,11,12,16      371   310     61   42.59   1.09    2.03    1.09    445.85    1081.42    1527.27                  63         98.44               2                     5.00
 5      0      50     0.75     9,11,12,16      507   417     90   35.31   1.08    1.17    1.08    460.32     275.58     735.90                  63         98.44               1                     7.00
15     50     100     1.50          10,11      223   178     45   44.39   1.15    1.07    1.07    656.62     124.77     781.39                  60         93.75               2                     3.00
20      0     150     1.25        9,11,12      283   225     58   46.29   1.19    1.07    1.07    918.05     134.03    1052.08                  60         93.75               3                     4.50
15      0     100     1.00        9,11,16      360   280     80   44.72   1.23    1.07    1.07   1068.49     140.44    1208.92                  61         95.31               2                     6.00
10    100      50     0.50    10,11,12,15      408   343     65   23.04   1.08    1.07    1.07    351.00      60.81     411.81                  63         98.44               2                     5.00
10    150       0     0.75 10,12,13,15,16      321   259     62   33.02   1.06    1.23    1.06    212.74     226.30     439.04                  61         95.31               2                     5.00
 5     50       0     0.50          11,12      384   307     77   22.92   1.20    1.05    1.05    645.82      62.34     708.16                  60         93.75               3                     5.00

TOP 20 BY combined total $:
