atr_len,sl_mult,tp_mult,rr,n,wr,net,pf,mdd,tagged,mean_mnq,mean_risk,is_n,is_wr,is_net,is_tagged,oos_n,oos_wr,oos_net,oos_tagged,min_wr,qualifies,strat
7,0.5,0.75,1.5,674,39.6,-72259.0,0.837,-76510.0,0.994,23.4,995.0,400,39.8,-42541.0,0.995,274,39.4,-29718.0,0.993,39.4,False,B2
7,0.5,1.0,2.0,674,34.0,-58691.0,0.879,-76084.0,0.987,23.4,995.0,400,35.5,-17545.0,0.988,274,31.8,-41146.0,0.985,31.8,False,B2
7,0.5,1.25,2.5,674,30.7,-28751.0,0.943,-55405.0,0.975,23.4,995.0,400,32.0,-479.0,0.978,274,28.8,-28272.0,0.971,28.8,False,B2
7,0.5,1.5,3.0,674,28.8,521.0,1.001,-41238.0,0.954,23.4,995.0,400,29.8,13079.0,0.953,274,27.4,-12558.0,0.956,27.4,False,B2
7,0.5,1.75,3.5,674,27.4,32400.0,1.061,-38764.0,0.941,23.4,995.0,400,28.5,34443.0,0.94,274,25.9,-2042.0,0.942,25.9,False,B2
7,0.5,2.0,4.0,674,26.3,52977.0,1.098,-36035.0,0.927,23.4,995.0,400,27.5,53286.0,0.925,274,24.5,-309.0,0.931,24.5,False,B2
7,0.5,2.25,4.5,674,24.6,38928.0,1.071,-27798.0,0.907,23.4,995.0,400,25.5,39426.0,0.902,274,23.4,-497.0,0.912,23.4,False,B2
7,0.5,2.5,5.0,674,24.0,34557.0,1.062,-31156.0,0.881,23.4,995.0,400,24.8,29411.0,0.87,274,23.0,5146.0,0.898,23.0,True,B2
7,0.5,2.75,5.5,674,23.4,42816.0,1.077,-33342.0,0.871,23.4,995.0,400,24.2,39049.0,0.863,274,22.3,3767.0,0.883,22.3,True,B2
7,0.5,3.0,6.0,674,23.1,51380.0,1.092,-27808.0,0.852,23.4,995.0,400,24.0,46240.0,0.845,274,21.9,5140.0,0.861,21.9,True,B2
7,0.5,3.25,6.5,674,22.8,43255.0,1.077,-29851.0,0.835,23.4,995.0,400,23.8,46377.0,0.833,274,21.5,-3122.0,0.839,21.5,False,B2
7,0.5,3.5,7.0,674,22.7,51088.0,1.091,-33693.0,0.825,23.4,995.0,400,23.5,46267.0,0.818,274,21.5,4820.0,0.836,21.5,True,B2
7,0.5,3.75,7.5,674,22.7,49150.0,1.087,-33571.0,0.812,23.4,995.0,400,23.5,42517.0,0.802,274,21.5,6633.0,0.825,21.5,True,B2
7,0.5,4.0,8.0,674,22.7,50663.0,1.09,-29752.0,0.804,23.4,995.0,400,23.5,43711.0,0.792,274,21.5,6952.0,0.821,21.5,True,B2
7,0.75,0.75,1.0,674,49.1,-55867.0,0.846,-66451.0,0.985,15.8,999.0,400,48.8,-34836.0,0.99,274,49.6,-21031.0,0.978,48.8,False,B2
7,0.75,1.0,1.333,674,42.1,-60362.0,0.852,-75790.0,0.969,15.8,999.0,400,42.5,-30625.0,0.978,274,41.6,-29737.0,0.956,41.6,False,B2
7,0.75,1.25,1.667,674,38.1,-47407.0,0.891,-62430.0,0.941,15.8,999.0,400,38.2,-24856.0,0.95,274,38.0,-22551.0,0.927,38.0,False,B2
7,0.75,1.5,2.0,674,35.8,-33460.0,0.926,-55806.0,0.915,15.8,999.0,400,35.5,-20842.0,0.922,274,36.1,-12618.0,0.905,35.5,False,B2
7,0.75,1.75,2.333,674,34.6,-12122.0,0.974,-46714.0,0.89,15.8,999.0,400,34.8,-1293.0,0.902,274,34.3,-10829.0,0.872,34.3,False,B2
7,0.75,2.0,2.667,674,33.5,7662.0,1.016,-41948.0,0.871,15.8,999.0,400,33.8,13750.0,0.88,274,33.2,-6088.0,0.858,33.2,False,B2
7,0.75,2.25,3.0,674,32.2,6599.0,1.014,-30985.0,0.847,15.8,999.0,400,32.2,12442.0,0.855,274,32.1,-5843.0,0.836,32.1,False,B2
7,0.75,2.5,3.333,674,31.5,6768.0,1.014,-27680.0,0.818,15.8,999.0,400,31.2,6258.0,0.818,274,31.8,511.0,0.818,31.2,True,B2
7,0.75,2.75,3.667,674,30.9,15051.0,1.031,-28330.0,0.804,15.8,999.0,400,30.8,14278.0,0.807,274,31.0,774.0,0.799,30.8,True,B2
7,0.75,3.0,4.0,674,30.6,21966.0,1.045,-27380.0,0.782,15.8,999.0,400,30.5,18472.0,0.785,274,30.7,3494.0,0.777,30.5,True,B2
7,0.75,3.25,4.333,674,30.3,17254.0,1.035,-27370.0,0.761,15.8,999.0,400,30.2,17641.0,0.765,274,30.3,-387.0,0.755,30.2,False,B2
7,0.75,3.5,4.667,674,30.1,22823.0,1.047,-29638.0,0.746,15.8,999.0,400,30.0,16678.0,0.745,274,30.3,6145.0,0.748,30.0,True,B2
7,0.75,3.75,5.0,674,30.1,23752.0,1.049,-28582.0,0.731,15.8,999.0,400,30.0,15619.0,0.73,274,30.3,8133.0,0.734,30.0,True,B2
7,0.75,4.0,5.333,674,30.1,25305.0,1.052,-26671.0,0.72,15.8,999.0,400,30.0,16157.0,0.718,274,30.3,9148.0,0.723,30.0,True,B2
