atr_len,sl_mult,tp_mult,rr,n,wr,net,pf,mdd,tagged,mean_mnq,mean_risk,is_n,is_wr,is_net,is_tagged,oos_n,oos_wr,oos_net,oos_tagged,min_wr,qualifies,strat
7,0.5,0.75,1.5,628,40.9,-70808.0,0.813,-79212.0,0.998,33.5,886.0,376,41.0,-43536.0,0.997,252,40.9,-27273.0,1.0,40.9,False,FB
7,0.5,1.0,2.0,628,33.8,-77768.0,0.817,-87833.0,0.998,33.5,886.0,376,34.3,-41332.0,0.997,252,32.9,-36436.0,1.0,32.9,False,FB
7,0.5,1.25,2.5,628,28.3,-93079.0,0.797,-104490.0,0.997,33.5,886.0,376,28.2,-58409.0,0.995,252,28.6,-34670.0,1.0,28.2,False,FB
7,0.5,1.5,3.0,628,26.0,-67534.0,0.858,-96769.0,0.995,33.5,886.0,376,26.1,-40122.0,0.995,252,25.8,-27412.0,0.996,25.8,False,FB
7,0.5,1.75,3.5,628,23.9,-52412.0,0.893,-105985.0,0.99,33.5,886.0,376,24.2,-29175.0,0.987,252,23.4,-23237.0,0.996,23.4,False,FB
7,0.5,2.0,4.0,628,21.7,-58678.0,0.883,-111223.0,0.982,33.5,886.0,376,22.1,-30499.0,0.979,252,21.0,-28179.0,0.988,21.0,False,FB
7,0.5,2.25,4.5,628,20.9,-34275.0,0.932,-108151.0,0.973,33.5,886.0,376,21.8,-7655.0,0.968,252,19.4,-26620.0,0.98,19.4,False,FB
7,0.5,2.5,5.0,628,19.6,-29820.0,0.942,-130836.0,0.967,33.5,886.0,376,19.7,-18889.0,0.965,252,19.4,-10932.0,0.968,19.4,False,FB
7,0.5,2.75,5.5,628,18.9,-17878.0,0.965,-121054.0,0.957,33.5,886.0,376,18.9,-5951.0,0.96,252,19.0,-11928.0,0.952,18.9,False,FB
7,0.5,3.0,6.0,628,18.8,6019.0,1.012,-120201.0,0.946,33.5,886.0,376,18.6,2094.0,0.944,252,19.0,3925.0,0.948,18.6,True,FB
7,0.5,3.25,6.5,628,18.5,12276.0,1.024,-116451.0,0.928,33.5,886.0,376,18.1,-5405.0,0.923,252,19.0,17680.0,0.937,18.1,False,FB
7,0.5,3.5,7.0,628,18.3,35327.0,1.068,-109162.0,0.919,33.5,886.0,376,18.1,7466.0,0.91,252,18.7,27861.0,0.933,18.1,True,FB
7,0.5,3.75,7.5,628,18.0,34271.0,1.066,-108229.0,0.906,33.5,886.0,376,18.1,17122.0,0.899,252,17.9,17149.0,0.917,17.9,True,FB
7,0.5,4.0,8.0,628,17.5,13628.0,1.026,-123538.0,0.89,33.5,886.0,376,17.6,12572.0,0.888,252,17.5,1055.0,0.893,17.5,True,FB
7,0.75,0.75,1.0,628,49.8,-65019.0,0.807,-76878.0,0.994,25.9,973.0,376,50.3,-37766.0,0.989,252,49.2,-27253.0,1.0,49.2,False,FB
7,0.75,1.0,1.333,628,42.5,-66514.0,0.827,-87303.0,0.989,25.9,973.0,376,43.6,-31550.0,0.981,252,40.9,-34964.0,1.0,40.9,False,FB
7,0.75,1.25,1.667,628,36.9,-73900.0,0.825,-99153.0,0.987,25.9,973.0,376,38.0,-35479.0,0.979,252,35.3,-38421.0,1.0,35.3,False,FB
7,0.75,1.5,2.0,628,34.2,-49973.0,0.886,-89904.0,0.984,25.9,973.0,376,35.9,-14318.0,0.976,252,31.7,-35655.0,0.996,31.7,False,FB
7,0.75,1.75,2.333,628,32.0,-30209.0,0.934,-88156.0,0.979,25.9,973.0,376,33.8,-755.0,0.968,252,29.4,-29455.0,0.996,29.4,False,FB
7,0.75,2.0,2.667,628,29.5,-31803.0,0.933,-84364.0,0.968,25.9,973.0,376,31.4,2792.0,0.96,252,26.6,-34595.0,0.98,26.6,False,FB
7,0.75,2.25,3.0,628,28.2,-14315.0,0.97,-83519.0,0.957,25.9,973.0,376,30.3,17560.0,0.947,252,25.0,-31875.0,0.972,25.0,False,FB
7,0.75,2.5,3.333,628,26.8,-4305.0,0.991,-92519.0,0.947,25.9,973.0,376,27.9,12305.0,0.939,252,25.0,-16610.0,0.96,25.0,False,FB
7,0.75,2.75,3.667,628,26.0,3392.0,1.007,-87551.0,0.933,25.9,973.0,376,26.9,19684.0,0.928,252,24.6,-16292.0,0.94,24.6,False,FB
7,0.75,3.0,4.0,628,25.3,16163.0,1.032,-89014.0,0.919,25.9,973.0,376,26.1,22495.0,0.907,252,24.2,-6333.0,0.937,24.2,False,FB
7,0.75,3.25,4.333,628,25.0,24425.0,1.049,-78441.0,0.895,25.9,973.0,376,25.5,18988.0,0.88,252,24.2,5438.0,0.917,24.2,True,FB
7,0.75,3.5,4.667,628,24.7,41452.0,1.083,-76876.0,0.884,25.9,973.0,376,25.3,27600.0,0.864,252,23.8,13851.0,0.913,23.8,True,FB
7,0.75,3.75,5.0,628,24.2,39393.0,1.078,-77475.0,0.863,25.9,973.0,376,25.0,34789.0,0.848,252,23.0,4604.0,0.885,23.0,True,FB
7,0.75,4.0,5.333,628,23.7,26969.0,1.053,-91786.0,0.844,25.9,973.0,376,24.5,32150.0,0.835,252,22.6,-5181.0,0.857,22.6,False,FB
7,1.0,0.75,0.75,628,57.8,-41521.0,0.853,-49731.0,0.994,20.3,995.0,376,58.0,-26202.0,0.989,252,57.5,-15319.0,1.0,57.5,False,FB
7,1.0,1.0,1.0,628,50.2,-45115.0,0.864,-50893.0,0.987,20.3,995.0,376,51.3,-20575.0,0.979,252,48.4,-24540.0,1.0,48.4,False,FB
7,1.0,1.25,1.25,628,44.4,-50204.0,0.864,-54766.0,0.982,20.3,995.0,376,45.7,-21055.0,0.976,252,42.5,-29149.0,0.992,42.5,False,FB
7,1.0,1.5,1.5,628,41.9,-23007.0,0.94,-48533.0,0.976,20.3,995.0,376,43.9,2646.0,0.971,252,38.9,-25654.0,0.984,38.9,False,FB
7,1.0,1.75,1.75,628,39.6,-1694.0,0.996,-46904.0,0.97,20.3,995.0,376,41.8,18529.0,0.963,252,36.5,-20223.0,0.98,36.5,False,FB
7,1.0,2.0,2.0,628,37.3,8233.0,1.02,-46873.0,0.954,20.3,995.0,376,39.4,26481.0,0.952,252,34.1,-18247.0,0.956,34.1,False,FB
7,1.0,2.25,2.25,628,35.7,19809.0,1.046,-45315.0,0.938,20.3,995.0,376,38.0,37207.0,0.931,252,32.1,-17398.0,0.948,32.1,False,FB
7,1.0,2.5,2.5,628,34.2,32124.0,1.074,-47701.0,0.922,20.3,995.0,376,35.6,35873.0,0.915,252,32.1,-3749.0,0.933,32.1,False,FB
7,1.0,2.75,2.75,628,33.3,38187.0,1.087,-43578.0,0.903,20.3,995.0,376,34.6,44017.0,0.899,252,31.3,-5830.0,0.909,31.3,False,FB
7,1.0,3.0,3.0,628,32.5,50429.0,1.113,-43587.0,0.884,20.3,995.0,376,33.5,46324.0,0.87,252,31.0,4105.0,0.905,31.0,True,FB
7,1.0,3.25,3.25,628,31.8,53148.0,1.118,-39695.0,0.858,20.3,995.0,376,32.4,37439.0,0.84,252,31.0,15709.0,0.885,31.0,True,FB
7,1.0,3.5,3.5,628,31.4,65366.0,1.144,-36286.0,0.842,20.3,995.0,376,32.2,46161.0,0.819,252,30.2,19205.0,0.877,30.2,True,FB
7,1.0,3.75,3.75,628,30.9,65382.0,1.143,-37192.0,0.82,20.3,995.0,376,31.9,51580.0,0.801,252,29.4,13802.0,0.849,29.4,True,FB
7,1.0,4.0,4.0,628,30.4,54374.0,1.118,-51557.0,0.795,20.3,995.0,376,31.4,50267.0,0.785,252,29.0,4107.0,0.81,29.0,True,FB
7,1.25,0.75,0.6,628,62.4,-37832.0,0.846,-43182.0,0.989,16.4,1000.0,376,62.8,-21226.0,0.981,252,61.9,-16606.0,1.0,61.9,False,FB
7,1.25,1.0,0.8,628,56.1,-28820.0,0.899,-37682.0,0.978,16.4,1000.0,376,56.6,-13192.0,0.968,252,55.2,-15629.0,0.992,55.2,False,FB
7,1.25,1.25,1.0,628,51.0,-24843.0,0.922,-34311.0,0.97,16.4,1000.0,376,51.6,-9500.0,0.965,252,50.0,-15343.0,0.976,50.0,False,FB
7,1.25,1.5,1.2,628,48.2,-1981.0,0.994,-37072.0,0.959,16.4,1000.0,376,49.7,12861.0,0.96,252,46.0,-14843.0,0.956,46.0,False,FB
7,1.25,1.75,1.4,628,45.7,17159.0,1.049,-37756.0,0.947,16.4,1000.0,376,47.3,28111.0,0.944,252,43.3,-10953.0,0.952,43.3,False,FB
7,1.25,2.0,1.6,628,43.5,29994.0,1.083,-35678.0,0.928,16.4,1000.0,376,44.9,35864.0,0.931,252,41.3,-5870.0,0.925,41.3,False,FB
7,1.25,2.25,1.8,628,41.6,36881.0,1.098,-31821.0,0.909,16.4,1000.0,376,43.1,41881.0,0.91,252,39.3,-5000.0,0.909,39.3,False,FB
7,1.25,2.5,2.0,628,40.0,46821.0,1.122,-32559.0,0.887,16.4,1000.0,376,40.4,40546.0,0.891,252,39.3,6275.0,0.881,39.3,True,FB
7,1.25,2.75,2.2,628,38.7,49237.0,1.125,-30865.0,0.868,16.4,1000.0,376,38.8,43258.0,0.875,252,38.5,5979.0,0.857,38.5,True,FB
7,1.25,3.0,2.4,628,38.2,65609.0,1.167,-28537.0,0.839,16.4,1000.0,376,38.3,51112.0,0.838,252,38.1,14496.0,0.841,38.1,True,FB
7,1.25,3.25,2.6,628,37.4,66009.0,1.165,-28178.0,0.811,16.4,1000.0,376,37.2,44915.0,0.806,252,37.7,21094.0,0.817,37.2,True,FB
7,1.25,3.5,2.8,628,36.9,78467.0,1.195,-24626.0,0.795,16.4,1000.0,376,37.0,54174.0,0.785,252,36.9,24294.0,0.81,36.9,True,FB
7,1.25,3.75,3.0,628,36.5,79490.0,1.196,-26050.0,0.768,16.4,1000.0,376,36.7,59619.0,0.761,252,36.1,19871.0,0.778,36.1,True,FB
7,1.25,4.0,3.2,628,35.8,68017.0,1.166,-38439.0,0.74,16.4,1000.0,376,35.9,55516.0,0.742,252,35.7,12501.0,0.738,35.7,True,FB
7,1.5,0.75,0.5,628,65.4,-38740.0,0.825,-39792.0,0.984,13.7,1001.0,376,65.7,-22489.0,0.976,252,65.1,-16251.0,0.996,65.1,False,FB
7,1.5,1.0,0.667,628,59.2,-33326.0,0.871,-33946.0,0.973,13.7,1001.0,376,59.8,-16112.0,0.963,252,58.3,-17214.0,0.988,58.3,False,FB
7,1.5,1.25,0.833,628,54.1,-33122.0,0.887,-34178.0,0.963,13.7,1001.0,376,54.8,-15381.0,0.957,252,53.2,-17740.0,0.972,53.2,False,FB
7,1.5,1.5,1.0,628,51.1,-17554.0,0.944,-37284.0,0.947,13.7,1001.0,376,52.7,1437.0,0.947,252,48.8,-18991.0,0.948,48.8,False,FB
7,1.5,1.75,1.167,628,48.6,-1949.0,0.994,-37806.0,0.935,13.7,1001.0,376,50.3,14196.0,0.928,252,46.0,-16144.0,0.944,46.0,False,FB
7,1.5,2.0,1.333,628,46.5,9418.0,1.028,-35677.0,0.911,13.7,1001.0,376,47.9,19113.0,0.912,252,44.4,-9695.0,0.909,44.4,False,FB
7,1.5,2.25,1.5,628,44.6,16556.0,1.048,-30639.0,0.887,13.7,1001.0,376,46.0,24046.0,0.891,252,42.5,-7491.0,0.881,42.5,False,FB
7,1.5,2.5,1.667,628,43.2,27709.0,1.078,-31435.0,0.861,13.7,1001.0,376,43.6,24979.0,0.867,252,42.5,2731.0,0.853,42.5,True,FB
7,1.5,2.75,1.833,628,41.9,30148.0,1.083,-29028.0,0.842,13.7,1001.0,376,42.0,27162.0,0.851,252,41.7,2986.0,0.829,41.7,True,FB
7,1.5,3.0,2.0,628,41.4,45417.0,1.125,-26310.0,0.814,13.7,1001.0,376,41.5,34512.0,0.814,252,41.3,10905.0,0.813,41.3,True,FB
7,1.5,3.25,2.167,628,40.6,46355.0,1.125,-27092.0,0.783,13.7,1001.0,376,40.4,29895.0,0.782,252,40.9,16459.0,0.786,40.4,True,FB
7,1.5,3.5,2.333,628,40.1,57838.0,1.155,-23615.0,0.768,13.7,1001.0,376,40.2,38477.0,0.761,252,40.1,19360.0,0.778,40.1,True,FB
7,1.5,3.75,2.5,628,39.6,59859.0,1.159,-24361.0,0.74,13.7,1001.0,376,39.9,43849.0,0.737,252,39.3,16010.0,0.746,39.3,True,FB
7,1.5,4.0,2.667,628,39.0,52544.0,1.138,-33396.0,0.712,13.7,1001.0,376,39.1,42060.0,0.715,252,38.9,10483.0,0.706,38.9,True,FB
7,1.75,0.75,0.429,628,68.6,-31905.0,0.837,-38081.0,0.976,11.7,1000.0,376,67.8,-24569.0,0.971,252,69.8,-7336.0,0.984,67.8,False,FB
7,1.75,1.0,0.571,628,62.3,-29981.0,0.871,-33551.0,0.96,11.7,1000.0,376,62.2,-18949.0,0.955,252,62.3,-11032.0,0.968,62.2,False,FB
