atr_len,sl_mult,tp_mult,rr,n,wr,net,pf,mdd,tagged,mean_mnq,mean_risk,is_n,is_wr,is_net,is_tagged,oos_n,oos_wr,oos_net,oos_tagged,min_wr,qualifies,strat
7,0.5,0.75,1.5,1386,43.0,-25348.0,0.97,-69554.0,1.0,24.6,981.0,831,44.2,1278.0,1.0,555,41.3,-26627.0,1.0,41.3,False,MEC
7,0.5,1.0,2.0,1386,36.0,-17959.0,0.981,-66995.0,0.998,24.6,981.0,831,36.9,5734.0,0.996,555,34.6,-23693.0,1.0,34.6,False,MEC
7,0.5,1.25,2.5,1386,31.7,21570.0,1.021,-51895.0,0.997,24.6,981.0,831,33.2,50209.0,0.995,555,29.4,-28639.0,1.0,29.4,False,MEC
7,0.5,1.5,3.0,1386,28.1,38696.0,1.036,-66167.0,0.994,24.6,981.0,831,29.4,57454.0,0.993,555,26.3,-18758.0,0.996,26.3,False,MEC
7,0.5,1.75,3.5,1386,24.7,16397.0,1.015,-87150.0,0.991,24.6,981.0,831,25.3,20155.0,0.987,555,24.0,-3758.0,0.996,24.0,False,MEC
7,0.5,2.0,4.0,1386,22.0,-16304.0,0.986,-124037.0,0.986,24.6,981.0,831,22.3,-8051.0,0.983,555,21.6,-8253.0,0.991,21.6,False,MEC
7,0.5,2.25,4.5,1386,20.9,33621.0,1.029,-119801.0,0.981,24.6,981.0,831,21.2,25290.0,0.98,555,20.5,8331.0,0.982,20.5,True,MEC
7,0.5,2.5,5.0,1386,20.1,65578.0,1.055,-116149.0,0.97,24.6,981.0,831,20.2,43225.0,0.969,555,19.8,22353.0,0.971,19.8,True,MEC
7,0.5,2.75,5.5,1386,19.2,61467.0,1.051,-129038.0,0.95,24.6,981.0,831,19.3,41810.0,0.949,555,19.1,19657.0,0.951,19.1,True,MEC
7,0.5,3.0,6.0,1386,18.5,54824.0,1.045,-136480.0,0.932,24.6,981.0,831,18.3,15599.0,0.929,555,18.9,39226.0,0.937,18.3,True,MEC
