atr_len,sl_mult,tp_mult,rr,n,wr,net,pf,mdd,tagged,mean_mnq,mean_risk,is_n,is_wr,is_net,is_tagged,oos_n,oos_wr,oos_net,oos_tagged,min_wr,qualifies,strat
7,0.5,0.75,1.5,1367,40.2,-178121.0,0.785,-182693.0,0.997,32.9,880.0,820,41.2,-100903.0,0.999,547,38.6,-77218.0,0.995,38.6,False,OD
7,0.5,1.0,2.0,1367,33.0,-203015.0,0.781,-216401.0,0.997,32.9,880.0,820,34.0,-111564.0,0.999,547,31.4,-91450.0,0.995,31.4,False,OD
7,0.5,1.25,2.5,1367,29.0,-173128.0,0.824,-190270.0,0.996,32.9,880.0,820,29.1,-115578.0,0.999,547,28.7,-57550.0,0.993,28.7,False,OD
7,0.5,1.5,3.0,1367,25.2,-174228.0,0.831,-209487.0,0.993,32.9,880.0,820,24.9,-129834.0,0.996,547,25.8,-44394.0,0.989,24.9,False,OD
7,0.5,1.75,3.5,1367,22.8,-169138.0,0.841,-226124.0,0.988,32.9,880.0,820,21.8,-145732.0,0.991,547,24.1,-23406.0,0.982,21.8,False,OD
7,0.5,2.0,4.0,1367,20.4,-181349.0,0.834,-244740.0,0.981,32.9,880.0,820,19.0,-169307.0,0.987,547,22.5,-12042.0,0.973,19.0,False,OD
7,0.5,2.25,4.5,1367,19.1,-177020.0,0.841,-241664.0,0.974,32.9,880.0,820,17.7,-171915.0,0.98,547,21.2,-5105.0,0.963,17.7,False,OD
7,0.5,2.5,5.0,1367,17.7,-198794.0,0.824,-252220.0,0.966,32.9,880.0,820,16.5,-181474.0,0.972,547,19.6,-17320.0,0.956,16.5,False,OD
7,0.5,2.75,5.5,1367,17.0,-197035.0,0.828,-254146.0,0.954,32.9,880.0,820,16.0,-173927.0,0.959,547,18.5,-23108.0,0.947,16.0,False,OD
7,0.5,3.0,6.0,1367,16.8,-162023.0,0.859,-226265.0,0.945,32.9,880.0,820,16.0,-147434.0,0.949,547,17.9,-14589.0,0.94,16.0,False,OD
7,0.5,3.25,6.5,1367,16.5,-149189.0,0.87,-217809.0,0.933,32.9,880.0,820,15.6,-145841.0,0.935,547,17.7,-3348.0,0.931,15.6,False,OD
7,0.5,3.5,7.0,1367,16.1,-156072.0,0.865,-225921.0,0.922,32.9,880.0,820,15.1,-158589.0,0.924,547,17.6,2517.0,0.918,15.1,False,OD
7,0.5,3.75,7.5,1367,15.9,-143869.0,0.875,-218238.0,0.911,32.9,880.0,820,14.9,-156662.0,0.92,547,17.6,12792.0,0.899,14.9,False,OD
7,0.5,4.0,8.0,1367,15.8,-133294.0,0.885,-214679.0,0.906,32.9,880.0,820,14.6,-157928.0,0.913,547,17.6,24634.0,0.894,14.6,False,OD
7,0.75,0.75,1.0,1367,50.9,-116626.0,0.838,-123711.0,0.996,25.8,974.0,820,51.6,-72961.0,0.999,547,49.9,-43665.0,0.993,49.9,False,OD
7,0.75,1.0,1.333,1367,42.9,-139901.0,0.833,-149987.0,0.994,25.8,974.0,820,43.4,-88268.0,0.996,547,42.0,-51633.0,0.991,42.0,False,OD
7,0.75,1.25,1.667,1367,38.8,-95220.0,0.894,-113339.0,0.992,25.8,974.0,820,38.8,-71687.0,0.994,547,38.8,-23533.0,0.989,38.8,False,OD
7,0.75,1.5,2.0,1367,34.1,-113135.0,0.883,-144908.0,0.985,25.8,974.0,820,33.7,-90266.0,0.989,547,34.7,-22869.0,0.98,33.7,False,OD
7,0.75,1.75,2.333,1367,31.2,-104784.0,0.896,-152675.0,0.976,25.8,974.0,820,30.2,-97396.0,0.979,547,32.5,-7389.0,0.971,30.2,False,OD
7,0.75,2.0,2.667,1367,28.5,-116144.0,0.889,-172580.0,0.963,25.8,974.0,820,26.6,-128626.0,0.97,547,31.3,12482.0,0.952,26.6,False,OD
7,0.75,2.25,3.0,1367,27.0,-110624.0,0.896,-170237.0,0.95,25.8,974.0,820,25.2,-123231.0,0.957,547,29.6,12607.0,0.938,25.2,False,OD
7,0.75,2.5,3.333,1367,25.5,-123667.0,0.886,-175948.0,0.936,25.8,974.0,820,23.9,-128453.0,0.944,547,27.8,4786.0,0.925,23.9,False,OD
7,0.75,2.75,3.667,1367,24.4,-132772.0,0.879,-178403.0,0.92,25.8,974.0,820,23.3,-121291.0,0.927,547,26.1,-11481.0,0.91,23.3,False,OD
7,0.75,3.0,4.0,1367,24.2,-88404.0,0.92,-148344.0,0.909,25.8,974.0,820,23.2,-92224.0,0.915,547,25.8,3820.0,0.899,23.2,False,OD
7,0.75,3.25,4.333,1367,24.0,-73162.0,0.934,-139207.0,0.891,25.8,974.0,820,22.9,-86435.0,0.895,547,25.6,13272.0,0.885,22.9,False,OD
7,0.75,3.5,4.667,1367,23.6,-75890.0,0.932,-142896.0,0.876,25.8,974.0,820,22.4,-92896.0,0.88,547,25.2,17006.0,0.87,22.4,False,OD
7,0.75,3.75,5.0,1367,23.4,-61633.0,0.945,-136787.0,0.864,25.8,974.0,820,22.2,-87937.0,0.873,547,25.2,26304.0,0.85,22.2,False,OD
7,0.75,4.0,5.333,1367,23.3,-42669.0,0.962,-135577.0,0.857,25.8,974.0,820,22.0,-82652.0,0.865,547,25.2,39983.0,0.845,22.0,False,OD
7,1.0,0.75,0.75,1367,57.6,-94930.0,0.847,-104521.0,0.994,20.1,994.0,820,57.4,-67816.0,0.995,547,57.8,-27114.0,0.993,57.4,False,OD
7,1.0,1.0,1.0,1367,50.1,-100931.0,0.861,-112077.0,0.991,20.1,994.0,820,49.6,-77185.0,0.991,547,50.8,-23746.0,0.991,49.6,False,OD
7,1.0,1.25,1.25,1367,45.9,-61772.0,0.922,-84790.0,0.988,20.1,994.0,820,45.4,-55394.0,0.988,547,46.6,-6378.0,0.989,45.4,False,OD
7,1.0,1.5,1.5,1367,40.8,-82942.0,0.903,-114835.0,0.979,20.1,994.0,820,39.9,-75067.0,0.983,547,42.2,-7875.0,0.973,39.9,False,OD
7,1.0,1.75,1.75,1367,37.7,-76196.0,0.916,-118185.0,0.966,20.1,994.0,820,36.5,-77435.0,0.971,547,39.7,1239.0,0.958,36.5,False,OD
7,1.0,2.0,2.0,1367,35.1,-79802.0,0.915,-126573.0,0.946,20.1,994.0,820,33.3,-93984.0,0.954,547,37.8,14182.0,0.934,33.3,False,OD
7,1.0,2.25,2.25,1367,33.7,-68606.0,0.928,-112176.0,0.922,20.1,994.0,820,32.1,-83979.0,0.932,547,36.2,15373.0,0.909,32.1,False,OD
7,1.0,2.5,2.5,1367,32.4,-65984.0,0.933,-110014.0,0.906,20.1,994.0,820,31.0,-78998.0,0.916,547,34.6,13013.0,0.89,31.0,False,OD
7,1.0,2.75,2.75,1367,31.4,-71187.0,0.928,-110850.0,0.884,20.1,994.0,820,30.2,-72467.0,0.894,547,33.1,1281.0,0.87,30.2,False,OD
7,1.0,3.0,3.0,1367,31.0,-43508.0,0.956,-96298.0,0.865,20.1,994.0,820,29.8,-60939.0,0.873,547,32.9,17432.0,0.854,29.8,False,OD
7,1.0,3.25,3.25,1367,30.7,-36901.0,0.963,-96159.0,0.843,20.1,994.0,820,29.4,-55387.0,0.852,547,32.5,18486.0,0.828,29.4,False,OD
7,1.0,3.5,3.5,1367,30.3,-42322.0,0.958,-100274.0,0.822,20.1,994.0,820,28.9,-62967.0,0.832,547,32.4,20645.0,0.806,28.9,False,OD
7,1.0,3.75,3.75,1367,30.1,-28770.0,0.971,-96336.0,0.807,20.1,994.0,820,28.7,-57751.0,0.822,547,32.4,28981.0,0.784,28.7,False,OD
