atr_len,sl_mult,tp_mult,rr,n,wr,net,pf,mdd,tagged,mean_mnq,mean_risk,is_n,is_wr,is_net,is_tagged,oos_n,oos_wr,oos_net,oos_tagged,min_wr,qualifies,strat
7,0.5,0.75,1.5,799,40.3,-64521.0,0.87,-72484.0,0.946,23.8,987.0,485,41.0,-29259.0,0.953,314,39.2,-35262.0,0.936,39.2,False,RV
7,0.5,1.0,2.0,799,35.3,-44605.0,0.917,-60269.0,0.932,23.8,987.0,485,36.1,-16721.0,0.932,314,34.1,-27884.0,0.933,34.1,False,RV
7,0.5,1.25,2.5,799,31.3,-40747.0,0.929,-59004.0,0.917,23.8,987.0,485,31.5,-21541.0,0.913,314,30.9,-19206.0,0.924,30.9,False,RV
7,0.5,1.5,3.0,799,28.7,-25823.0,0.957,-61393.0,0.907,23.8,987.0,485,28.9,-15501.0,0.899,314,28.3,-10322.0,0.92,28.3,False,RV
7,0.5,1.75,3.5,799,27.7,16658.0,1.028,-49005.0,0.897,23.8,987.0,485,27.8,6913.0,0.889,314,27.4,9746.0,0.911,27.4,True,RV
7,0.5,2.0,4.0,799,24.8,-21812.0,0.965,-58686.0,0.889,23.8,987.0,485,25.2,-10821.0,0.885,314,24.2,-10990.0,0.895,24.2,False,RV
7,0.5,2.25,4.5,799,24.4,3954.0,1.006,-47192.0,0.869,23.8,987.0,485,24.7,2841.0,0.864,314,23.9,1113.0,0.876,23.9,True,RV
7,0.5,2.5,5.0,799,23.5,11709.0,1.018,-48116.0,0.859,23.8,987.0,485,23.5,2061.0,0.856,314,23.6,9649.0,0.863,23.5,True,RV
7,0.5,2.75,5.5,799,23.3,38284.0,1.06,-39932.0,0.85,23.8,987.0,485,23.3,25302.0,0.852,314,23.2,12982.0,0.847,23.2,True,RV
7,0.5,3.0,6.0,799,22.8,46752.0,1.073,-49992.0,0.844,23.8,987.0,485,22.9,31804.0,0.845,314,22.6,14947.0,0.841,22.6,True,RV
7,0.5,3.25,6.5,799,22.5,52712.0,1.081,-55265.0,0.83,23.8,987.0,485,22.7,43607.0,0.837,314,22.3,9105.0,0.818,22.3,True,RV
7,0.5,3.5,7.0,799,22.2,41326.0,1.064,-52371.0,0.819,23.8,987.0,485,22.1,33634.0,0.827,314,22.3,7692.0,0.806,22.1,True,RV
7,0.5,3.75,7.5,799,21.5,21573.0,1.033,-62183.0,0.812,23.8,987.0,485,21.2,14609.0,0.821,314,22.0,6963.0,0.799,21.2,True,RV
7,0.5,4.0,8.0,799,21.5,27951.0,1.043,-63483.0,0.805,23.8,987.0,485,21.2,20860.0,0.814,314,22.0,7090.0,0.79,21.2,True,RV
