sl_mult,tp_mult,no_n,no_total_pts,no_wr,no_pf,no_mdd_pts,no_avg,no_tp,no_sl,no_fc,mart_n,mart_total_pts,mart_wr,mart_pf,mart_mdd_pts,mart_avg,mart_total_mnq_$,mart_mdd_mnq_$
1.0,1.0,1018,-1142.367555930039,48.33005893909627,0.9188165526995052,-1457.1417529771838,-1.1221685225245963,492,0,1,1018,-1156.4223423907579,48.33005893909627,0.9178997389317087,-1471.1965394379022,-1.1359747960616482,-2312.8446847815158,-2942.3930788758043
1.0,1.25,1000,-534.1856828408944,43.7,0.9642373719902129,-1289.6994408588016,-0.5341856828408944,437,0,2,1000,-516.484649139276,43.7,0.9654549244379944,-1271.998407157183,-0.516484649139276,-1032.969298278552,-2543.996814314366
1.0,1.5,981,-423.848409163911,39.55147808358818,0.9731461239126654,-1363.114185287217,-0.4320575016961376,387,0,3,981,-399.79621142982523,39.55147808358818,0.9746925409892151,-1339.0619875531315,-0.4075394611924824,-799.5924228596505,-2678.123975106263
1.0,1.75,959,-638.5394296138755,35.870698644421275,0.9610408023612549,-1442.1726168567902,-0.6658388212866273,340,0,7,959,-621.90014243656,35.870698644421275,0.9621203086132144,-1411.7692550902368,-0.6484881568681543,-1243.80028487312,-2823.5385101804736
1.0,2.0,938,765.247312237949,34.9680170575693,1.0471043042171175,-961.2038550893169,0.8158286910852335,320,0,13,938,710.5701854420689,34.9680170575693,1.0434565192969216,-1012.3252363100207,0.7575375111322696,1421.1403708841378,-2024.6504726200415
1.0,2.25,931,317.1401729006719,32.00859291084855,1.0188206523858325,-1040.2363644292009,0.3406446540286487,286,0,18,931,254.69026460793123,32.00859291084855,1.0150080376658155,-1091.3577456499042,0.2735663422211936,509.38052921586245,-2182.7154912998085
1.0,2.5,920,279.75741537791,29.782608695652176,1.0162929890040373,-1243.5245270821943,0.3040841471499022,257,0,24,920,197.15378085396605,29.782608695652176,1.0113852922584743,-1285.8591967532298,0.2142975878847457,394.3075617079321,-2571.7183935064595
1.0,2.75,909,1443.636543729589,29.372937293729372,1.0844769885721117,-1033.42451383529,1.5881590140039483,246,0,28,909,1367.3840732381125,29.372937293729372,1.0793365945317321,-1036.8680031601943,1.504272907852709,2734.768146476225,-2073.7360063203887
1.0,3.0,893,2420.1672210654856,28.89137737961926,1.1432140708141356,-918.6565301519659,2.710153663007263,229,0,36,893,2350.265914606477,28.89137737961926,1.137885427257227,-932.0244564125355,2.631876724083401,4700.531829212954,-1864.048912825071
1.0,3.25,888,3072.798650139288,28.265765765765767,1.1815411894734402,-844.8780870696846,3.460358840246946,209,0,50,888,2989.3906221230527,28.265765765765767,1.1748984336283244,-852.3083534619286,3.3664308807692036,5978.781244246105,-1704.6167069238572
1.0,3.5,878,2221.263260780509,26.879271070615037,1.1296217604469938,-1100.9067677348576,2.529912597699896,186,0,59,878,2114.815491619342,26.879271070615037,1.1220189310598785,-1131.3250666262754,2.408673680659843,4229.630983238684,-2262.650133252551
1.0,3.75,863,2818.469317487672,26.535341830822713,1.1665530308981313,-996.6664872794572,3.2658972392672907,170,0,69,863,2704.397173072995,26.535341830822713,1.1578593024694903,-1042.6520201363664,3.133716307152949,5408.79434614599,-2085.304040272733
1.0,4.0,853,2789.863004911316,26.260257913247365,1.165783935474852,-1184.5991522510772,3.2706483058749307,149,0,85,853,2646.023400009628,26.260257913247365,1.1553045101251669,-1188.6485825651607,3.1020203986044876,5292.046800019256,-2377.2971651303214
1.0,4.25,847,2311.985985920938,25.265643447461628,1.136033898591256,-1249.3586684703077,2.7296174568133864,139,0,86,847,2144.81341580397,25.265643447461628,1.124493378469075,-1253.4080987843915,2.5322472441605317,4289.62683160794,-2506.816197568783
1.0,4.5,843,2224.3222931724913,24.67378410438909,1.1305871140410055,-1178.7226678815525,2.6385792327075817,127,0,93,843,2022.5931000987205,24.67378410438909,1.1169096921955652,-1182.7720981956359,2.3992800712914835,4045.186200197441,-2365.5441963912717
1.0,4.75,840,2506.3217292300496,24.642857142857146,1.147632793666096,-1175.9405780016004,2.9837163443214876,118,0,101,840,2304.592536156278,24.642857142857146,1.1336463874316973,-1199.5568772908337,2.743562543043188,4609.185072312556,-2399.1137545816673
1.0,5.0,836,2498.3821636318335,24.2822966507177,1.1473482457621489,-1183.9819103378932,2.988495411042863,106,0,109,836,2296.6529705580624,24.2822966507177,1.1333491205535695,-1188.0313406519772,2.7471925485144286,4593.305941116125,-2376.0626813039544
1.25,1.0,1001,-1037.6186890476763,53.54645354645354,0.9322174469853037,-1532.4763412831817,-1.0365821069407355,536,0,2,1001,-1074.9503279139847,53.54645354645354,0.92994958512182,-1569.8079801494903,-1.073876451462522,-2149.9006558279693,-3139.6159602989806
1.25,1.25,982,-322.84571357756533,48.9816700610998,0.9802855100148927,-1240.441299616582,-0.32876345578163474,481,0,3,982,-328.4215322815367,48.9816700610998,0.9799906383667255,-1246.017118320553,-0.33444147890176856,-656.8430645630734,-2492.034236641106
1.25,1.5,962,-372.5061733037726,44.5945945945946,0.9787207999643599,-1505.9211105289219,-0.387220554369826,426,0,7,962,-313.6256562361888,44.5945945945946,0.9821224402594554,-1447.0405934613382,-0.3260141956717139,-627.2513124723775,-2894.0811869226764
