variant,delta,lowz,sl,tp,n_is,n_oos,pf_is,pf_oos,wr_is,wr_oos,pnl_is,pnl_oos,mdd_is,mdd_oos,t_long_cong,t_short_cong,t_long_ctr,t_short_ctr,blocked_long,blocked_short
delta_only,50,-1.0,1.0,1.0,595,178,0.9585633281677419,0.8514533274335264,49.747899159663866,44.38202247191011,-9338.40846096995,-13021.966068122056,-21214.122921077433,-26006.999678269785,773,0,0,0,3,695
delta_only,50,-1.0,1.0,1.25,587,176,0.9407999623081817,0.9069853752227998,44.97444633730835,40.90909090909091,-14462.267429156054,-8508.384581200444,-20478.98238090267,-23129.09480784263,763,0,0,0,3,695
delta_only,50,-1.0,1.0,1.5,578,173,0.9397012442796624,0.9233344481680741,41.69550173010381,38.15028901734104,-15368.945495117805,-7176.410003460769,-29704.714784980715,-26105.946908403566,751,0,0,0,3,695
delta_only,50,-1.0,1.0,1.75,576,170,0.9587307792029693,1.0210957878663787,39.583333333333336,37.64705882352941,-10803.255520093226,1937.0484412315272,-28682.911926742127,-22242.03676263067,746,0,0,0,3,695
delta_only,50,-1.0,1.0,2.0,574,169,0.9984170328065715,1.1164671457837658,38.32752613240418,37.8698224852071,-421.36682387576,10624.357626599158,-22027.166251162307,-20677.15963105853,743,0,0,0,3,695
delta_only,50,-1.0,1.0,2.25,567,168,1.0455355813749396,1.0502710163081737,37.742504409171076,35.11904761904762,12088.243066074356,4856.051668810251,-19638.539686160548,-24056.952560516365,735,0,0,0,3,695
delta_only,50,-1.0,1.0,2.5,565,168,1.042331493945355,1.0144616570341307,36.10619469026549,32.73809523809524,11428.769147854473,1443.783368600416,-22892.18916437676,-26922.240084463556,733,0,0,0,3,695
delta_only,50,-1.0,1.0,2.75,563,166,1.0650004449712855,0.9828862199679202,34.9911190053286,31.325301204819276,17731.161518633162,-1748.1647570109635,-22255.352447510595,-26231.61722334349,729,0,0,0,3,695
delta_only,50,-1.0,1.0,3.0,560,166,1.0660515828957517,1.0021883777086074,34.285714285714285,30.72289156626506,18092.334093997706,225.7534224697156,-24724.513135524685,-28233.37188873542,726,0,0,0,3,695
delta_only,50,-1.0,1.25,1.0,580,177,0.9849125558546481,0.8426575437564383,55.51724137931034,51.41242937853107,-3606.04799995519,-15287.066788750963,-20953.117744497795,-28111.56705281348,757,0,0,0,3,695
delta_only,50,-1.0,1.25,1.25,571,175,0.969731370454243,0.8759726805714226,50.78809106830123,46.857142857142854,-7907.110478128307,-12800.508797048024,-26535.011056443618,-27091.55049818066,746,0,0,0,3,695
delta_only,50,-1.0,1.25,1.5,562,172,0.9749951524402611,0.9060208886069695,47.50889679715303,44.18604651162791,-6816.85283618106,-9936.506742006604,-32708.654860718307,-28549.10159399915,734,0,0,0,3,695
delta_only,50,-1.0,1.25,1.75,558,169,0.9997103017294803,1.0015806306630146,45.51971326164875,43.78698224852071,-81.182626541231,163.59463327426056,-30770.06384109456,-26076.38191582504,727,0,0,0,3,695
delta_only,50,-1.0,1.25,2.0,555,168,1.0269781186356168,1.0980747269242563,43.96396396396396,44.04761904761905,7739.2094076060675,10077.181930514853,-27763.40653981446,-23881.050292465443,723,0,0,0,3,695
delta_only,50,-1.0,1.25,2.25,547,167,1.059997199745677,1.0266441522249454,42.96160877513711,41.31736526946108,17204.895659755166,2908.0146299411717,-26528.06211498013,-26343.830530460764,714,0,0,0,3,695
delta_only,50,-1.0,1.25,2.5,545,167,1.0543022404764448,0.9959692486568885,41.10091743119266,38.92215568862275,15917.54057754184,-456.24063979281345,-24072.146261396483,-29290.190238517534,712,0,0,0,3,695
delta_only,50,-1.0,1.25,2.75,542,165,1.0735856298685968,0.979918075644823,40.03690036900369,38.18181818181818,21772.551137935552,-2310.916289889792,-23475.383517893133,-28091.811020408495,707,0,0,0,3,695
delta_only,50,-1.0,1.25,3.0,539,165,1.0707353126144232,0.9928936129996059,39.14656771799629,37.57575757575758,21072.211454764183,-826.7409713604138,-25825.39897712173,-30790.065707103277,704,0,0,0,3,695
delta_only,50,-1.0,1.5,1.0,573,176,0.9876491829202776,0.8198375415170189,59.860383944153575,55.11363636363637,-3095.226989911316,-19026.71644252172,-20197.715120350258,-31127.53621324322,749,0,0,0,3,694
delta_only,50,-1.0,1.5,1.25,560,174,0.9838949783478179,0.883849515789857,55.892857142857146,51.724137931034484,-4371.891368895958,-12794.17723947321,-23396.507737855754,-26853.76823519364,734,0,0,0,3,694
delta_only,50,-1.0,1.5,1.5,551,171,0.9929995084944948,0.9266796412969559,52.63157894736842,49.707602339181285,-1994.9648749849803,-8203.807361338477,-31412.809048797753,-25565.149004779087,722,0,0,0,3,694
delta_only,50,-1.0,1.5,1.75,547,168,1.0235778695310165,0.9803752542922377,50.63985374771481,48.80952380952381,6924.680198299902,-2194.6898848147976,-26289.056918775932,-23060.158185882756,715,0,0,0,3,694
delta_only,50,-1.0,1.5,2.0,543,167,1.0290031744793326,1.071761489527859,48.43462246777164,49.10179640718563,8832.98716369416,7960.739756633266,-25139.04049010678,-21993.858247915705,710,0,0,0,3,694
delta_only,50,-1.0,1.5,2.25,535,165,1.0720843509154,1.0181592472344674,47.47663551401869,46.666666666666664,21920.406641105474,2122.6408513221395,-22525.217548278742,-21023.183031060544,700,0,0,0,3,694
delta_only,50,-1.0,1.5,2.5,533,165,1.0697327847659244,0.9868239197688241,45.77861163227017,44.24242424242424,21663.33889616635,-1604.1493904044182,-26197.58782439436,-23002.545588862267,698,0,0,0,3,694
delta_only,50,-1.0,1.5,2.75,529,163,1.0714105073713116,1.0108918209566864,44.234404536862,43.558282208588956,22531.911182495278,1337.4293131566083,-25940.842165724316,-20613.969701348324,692,0,0,0,3,694
delta_only,50,-1.0,1.5,3.0,526,163,1.0661688564557166,1.0297372239302445,43.155893536121674,42.94478527607362,21009.007239895036,3696.575599689095,-25520.04441109435,-23304.814661440178,689,0,0,0,3,694
delta_only,50,-1.0,1.75,1.0,571,173,1.0541658734911488,0.9047465859989957,64.09807355516638,60.115606936416185,13561.55401636428,-9708.027463327307,-21654.095140673526,-19542.483959914825,744,0,0,0,3,693
delta_only,50,-1.0,1.75,1.25,556,171,0.9933786964898444,0.9706314066381826,59.172661870503596,56.72514619883041,-1861.4452246236033,-3147.35317306011,-25457.826291404708,-16813.548253637855,727,0,0,0,3,693
delta_only,50,-1.0,1.75,1.5,546,168,1.022686879909815,0.9476461996407257,56.227106227106226,53.57142857142857,6638.629800951312,-5919.2807203491975,-29147.44592592975,-20452.171015442946,714,0,0,0,3,693
delta_only,50,-1.0,1.75,1.75,542,164,1.0494149046523473,1.003139031105214,54.24354243542435,53.048780487804876,14961.410645454052,354.80391745993984,-24286.98611040727,-18051.382365723548,706,0,0,0,3,693
delta_only,50,-1.0,1.75,2.0,535,164,1.0601492983560115,1.079116125650848,52.149532710280376,52.4390243902439,18766.38433944674,8954.739315989063,-27733.933519073325,-16969.005160487213,699,0,0,0,3,692
delta_only,50,-1.0,1.75,2.25,527,162,1.086749445896067,1.034240396215942,51.04364326375712,50.0,27236.545906475585,4061.079239114042,-26369.17852931947,-17583.807555406092,689,0,0,0,3,692
delta_only,50,-1.0,1.75,2.5,524,162,1.0831602812934669,0.9994559381328079,49.42748091603053,47.53086419753087,26680.043910381755,-67.61116763686005,-28559.439301788007,-19519.146169028245,686,0,0,0,3,692
delta_only,50,-1.0,1.75,2.75,520,160,1.0844248054447472,1.0221538883903247,47.88461538461539,46.875,27562.182991449372,2780.7802008478757,-28302.693643117964,-17018.759403879158,680,0,0,0,3,692
delta_only,50,-1.0,1.75,3.0,517,160,1.071084328478564,1.0397677796238667,46.61508704061895,46.25,23440.425549412757,5062.0286034497985,-29166.71847961021,-19696.852938475276,677,0,0,0,3,692
delta_only,50,-1.0,2.0,1.0,563,171,1.0469817045739809,0.9425415514799241,66.42984014209591,63.1578947368421,12017.605848107414,-5865.354080481557,-22855.35556484807,-15851.749676907857,734,0,0,0,3,692
delta_only,50,-1.0,2.0,1.25,547,168,0.9895809538642645,0.994767556730192,61.608775137111515,59.523809523809526,-2999.4497590185347,-560.4281846535014,-30216.842901373275,-14626.063630883873,715,0,0,0,3,692
delta_only,50,-1.0,2.0,1.5,537,165,1.023261618562358,0.9897062527588505,58.845437616387336,56.96969696969697,6946.6807940528815,-1159.7045072475157,-29694.80887548587,-16427.76727506236,702,0,0,0,3,692
delta_only,50,-1.0,2.0,1.75,532,159,1.065521697570666,1.0581355008124596,57.330827067669176,56.60377358490566,20095.822735276306,6479.648569720084,-25207.71825116237,-15330.826218212896,691,0,0,0,3,692
delta_only,50,-1.0,2.0,2.0,524,159,1.0767375068706801,1.1404380992312033,55.152671755725194,55.9748427672956,24153.455311827165,15674.673893981962,-29100.737535507178,-14519.024561347687,683,0,0,0,3,691
delta_only,50,-1.0,2.0,2.25,516,157,1.1023369929048499,1.0693950129514862,54.263565891472865,52.86624203821656,32344.24434352637,8249.368605893324,-25951.69144139516,-14281.308186224487,673,0,0,0,3,691
delta_only,50,-1.0,2.0,2.5,514,157,1.1063671223909317,1.0510677315048569,53.11284046692607,50.955414012738856,34214.887349812416,6330.529929789409,-26377.33720164433,-17576.863063786805,671,0,0,0,3,691
delta_only,50,-1.0,2.0,2.75,510,155,1.106187842057623,1.0774644570876093,51.568627450980394,50.32258064516129,34839.209719278915,9715.46761553167,-27824.282268999305,-15136.613672379244,665,0,0,0,3,691
delta_only,50,-1.0,2.0,3.0,507,155,1.1042688363433777,1.087247427135717,50.69033530571992,49.67741935483871,34311.1524961119,11118.782208705088,-29150.87900444876,-18127.502782621377,662,0,0,0,3,691
delta_only,50,-1.0,2.25,1.0,556,168,1.115033746901963,0.9597791638895363,69.06474820143885,65.47619047619048,28130.51613937656,-4057.9727683340025,-21160.971877050615,-15850.367534818724,724,0,0,0,3,691
delta_only,50,-1.0,2.25,1.25,540,165,1.0628020011748878,1.01668599964672,64.44444444444444,62.42424242424242,17237.70948363919,1771.5990182614041,-20166.97198545342,-17297.529663410896,705,0,0,0,3,691
delta_only,50,-1.0,2.25,1.5,530,162,1.099864582086683,1.0295751782231863,61.698113207547166,60.49382716049383,28616.389650746023,3298.6460307955713,-25748.820772882464,-16026.827665908713,692,0,0,0,3,691
delta_only,50,-1.0,2.25,1.75,525,156,1.143105424726646,1.103872347773233,60.19047619047619,60.256410256410255,42304.460422270495,11461.38943930011,-22662.213705821414,-18219.814454962907,681,0,0,0,3,691
delta_only,50,-1.0,2.25,2.0,517,156,1.1460756333643702,1.1917715442746208,58.02707930367505,59.61538461538461,44685.47596334258,21190.00833596532,-23095.222368689865,-17132.579288381312,673,0,0,0,3,690
delta_only,50,-1.0,2.25,2.25,509,154,1.1768210797335783,1.1106138967752237,57.17092337917485,56.493506493506494,54059.101872547,13091.145699389526,-22970.729981467448,-17212.46155471221,663,0,0,0,3,690
delta_only,50,-1.0,2.25,2.5,506,154,1.1851489533783428,1.0906844613856552,56.126482213438734,54.54545454545455,57514.3535063717,11225.549229841417,-24588.88141150259,-16400.659897847072,660,0,0,0,3,690
delta_only,50,-1.0,2.25,2.75,502,152,1.1752748675574436,1.0983037799421007,54.38247011952191,53.94736842105263,55891.247310566796,12331.903821149026,-24924.178966084874,-15588.85824098179,654,0,0,0,3,690
delta_only,50,-1.0,2.25,3.0,499,152,1.1748381706426845,1.106833228885848,53.50701402805611,53.28947368421053,55946.618373209785,13644.82731873788,-25949.0280004988,-15745.615416196306,651,0,0,0,3,690
delta_only,50,-1.0,2.5,1.0,552,167,1.1130392812075283,0.8824464172715748,70.28985507246377,65.86826347305389,27859.80231660258,-12882.148204691184,-20559.915900168344,-22960.145607324666,719,0,0,0,3,689
delta_only,50,-1.0,2.5,1.25,536,164,1.0265113368878216,0.9343930258478848,65.11194029850746,62.80487804878049,7540.314325172585,-7567.638916727956,-24865.049419468705,-21789.431674013613,700,0,0,0,3,689
delta_only,50,-1.0,2.5,1.5,527,162,1.062972583017267,0.9515092118012791,62.428842504743834,60.49382716049383,18735.813093138895,-5885.152867280194,-28268.881890962584,-19379.661027824914,689,0,0,0,3,689
delta_only,50,-1.0,2.5,1.75,522,156,1.1008472050830427,1.020091038022926,60.91954022988506,60.256410256410255,31018.808867430707,2414.610105163738,-25225.932466557824,-21266.334062351816,678,0,0,0,3,689
delta_only,50,-1.0,2.5,2.0,513,156,1.1011796452050253,1.1021323825629363,58.67446393762183,59.61538461538461,32222.257476930863,12290.451806634737,-26206.848028738896,-19937.210917846678,669,0,0,0,3,688
delta_only,50,-1.0,2.5,2.25,505,154,1.13231290352786,1.0291018655774176,57.82178217821782,56.493506493506494,42054.40850071529,3747.8324594840524,-26370.97648886349,-20258.981162101118,659,0,0,0,3,688
delta_only,50,-1.0,2.5,2.5,502,154,1.1392069929411177,1.0124868615542575,56.77290836653386,54.54545454545455,45001.614517343114,1680.3486961729504,-26758.47452241389,-19447.17950523598,656,0,0,0,3,688
delta_only,50,-1.0,2.5,2.75,498,151,1.1329930864747213,1.014149427220985,55.02008032128514,54.3046357615894,44124.40552914475,1929.4770267118292,-27619.013542830908,-18635.3778483707,649,0,0,0,3,688
delta_only,50,-1.0,2.5,3.0,495,151,1.1268777430125938,1.0215258326558587,54.14141414141414,53.64238410596027,42482.5456551191,2989.7423223960504,-28459.071760971747,-19783.602432907064,646,0,0,0,3,688
delta_only,50,-1.0,2.75,1.0,546,167,1.1462821503103362,0.8296795676073156,71.97802197802197,65.86826347305389,35191.01483968832,-19851.67340592132,-21212.765542942725,-28339.28514309977,713,0,0,0,3,689
delta_only,50,-1.0,2.75,1.25,530,164,1.0419489919753036,0.905558055715594,66.60377358490567,63.41463414634146,11827.954637497569,-11365.843857383734,-23656.49436245807,-23997.250949214358,694,0,0,0,3,689
delta_only,50,-1.0,2.75,1.5,521,162,1.0797661035716122,0.9209943890631714,63.91554702495201,61.111111111111114,23526.02271458065,-10029.965406963165,-26948.194689245975,-21669.08255096132,683,0,0,0,3,689
delta_only,50,-1.0,2.75,1.75,516,156,1.1186153336449152,0.9972431654244428,62.2093023255814,60.8974358974359,36117.09836154678,-346.75411900971085,-22972.271247574317,-19817.45035369291,672,0,0,0,3,689
delta_only,50,-1.0,2.75,2.0,507,156,1.1072690938028293,1.075666830003727,59.76331360946745,60.256410256410255,34067.09405506557,9529.087582461289,-28391.111588923304,-19593.310992749393,663,0,0,0,3,688
delta_only,50,-1.0,2.75,2.25,498,154,1.140858509526317,1.0029301846149672,58.83534136546185,57.142857142857146,44555.72212550713,395.48871993007197,-22904.13882876972,-19369.171631805875,652,0,0,0,3,688
delta_only,50,-1.0,2.75,2.5,495,154,1.145599994220962,0.9856766677537183,57.77777777777778,55.1948051948052,46921.95133639318,-2021.1051419496653,-28928.06763332541,-20367.99024164844,649,0,0,0,3,688
delta_only,50,-1.0,2.75,2.75,491,151,1.145086186122284,0.9861852181740554,56.0081466395112,54.966887417218544,47759.01904059192,-1976.975024122221,-28671.321974655366,-19289.292236245237,642,0,0,0,3,688
delta_only,50,-1.0,2.75,3.0,487,151,1.141838872196976,0.9919843175860785,55.23613963039014,54.3046357615894,47000.56223969488,-1169.3679303426325,-28250.5242200254,-22845.45858940117,638,0,0,0,3,688
delta_only,50,-1.0,3.0,1.0,544,166,1.1531293668307439,0.8871837442100623,72.9779411764706,66.26506024096386,36756.19719809201,-12238.217805882232,-22384.776902511003,-22929.374681105182,710,0,0,0,3,688
delta_only,50,-1.0,3.0,1.25,528,163,1.0372096297010327,0.9580100058848392,67.61363636363636,63.80368098159509,10587.787241912301,-4751.386806393493,-25242.09086885523,-19470.790430206325,691,0,0,0,3,688
delta_only,50,-1.0,3.0,1.5,519,161,1.0768988489619171,0.9657832571014694,64.9325626204239,61.49068322981366,22871.956368102838,-4117.88930166651,-29293.458844533125,-20924.640346801316,680,0,0,0,3,688
delta_only,50,-1.0,3.0,1.75,514,155,1.1281334741438094,1.0530785678477894,63.42412451361868,61.29032258064516,38983.243009741964,6326.150097981736,-24339.45175461282,-13940.285939022797,669,0,0,0,3,687
delta_only,50,-1.0,3.0,2.0,504,155,1.1278309404802391,1.1387357012923187,61.30952380952381,60.645161290322584,40242.82456543922,16556.66890176515,-29081.78497792076,-13716.146578079279,659,0,0,0,3,686
delta_only,50,-1.0,3.0,2.25,495,153,1.163204004780744,1.0557258933183706,60.4040404040404,57.51633986928105,51141.7923957864,7186.767626165747,-24484.440916519125,-18554.848274435935,648,0,0,0,3,686
delta_only,50,-1.0,3.0,2.5,492,153,1.1663889136492507,1.035258143084924,59.34959349593496,55.55555555555556,53216.48548672183,4775.740768029718,-31097.66074423671,-22666.838179862752,645,0,0,0,3,686
delta_only,50,-1.0,3.0,2.75,488,150,1.162362134527299,1.0361013014990277,57.58196721311475,55.333333333333336,52958.741463115875,4969.5497754582175,-30840.915085566667,-22921.971461755675,638,0,0,0,3,686
delta_only,50,-1.0,3.0,3.0,484,150,1.1563306123156534,1.0417888713220356,56.81818181818182,54.666666666666664,51446.03894959873,5879.17576964559,-30420.1173309367,-26730.79601681624,634,0,0,0,3,686
delta_only,50,0.9,1.0,1.0,1428,423,0.9629687051278999,0.9176308651903387,50.42016806722689,45.62647754137116,-19161.518228066307,-15674.883428335743,-49896.83696311546,-21502.23346722196,1844,7,0,0,7,1993
delta_only,50,0.9,1.0,1.25,1375,411,0.9565807603410635,0.9391356380034629,46.25454545454546,42.092457420924575,-23501.06470681836,-12124.047791135454,-50196.276591933965,-17648.557546142983,1779,7,0,0,7,1992
delta_only,50,0.9,1.0,1.5,1340,389,0.9252838491453699,0.9798056241306567,42.6865671641791,40.87403598971722,-42163.8227615775,-3959.328359235369,-55640.2547579195,-19360.33676094601,1722,7,0,0,7,1992
delta_only,50,0.9,1.0,1.75,1313,380,0.946203972239711,1.05543161351795,41.05102817974105,40.26315789473684,-30543.15628791428,10753.654207354775,-51837.77089462674,-17057.887595770808,1686,7,0,0,7,1992
delta_only,50,0.9,1.0,2.0,1290,378,0.9674920266604731,1.0978264650563978,39.53488372093023,38.62433862433863,-18488.371776773274,19227.202828106674,-39158.533500409794,-17248.294120775827,1661,7,0,0,7,1992
delta_only,50,0.9,1.0,2.25,1260,374,0.9965022862176779,1.061847875599331,38.57142857142857,36.63101604278075,-1969.8402533973422,12499.10030555402,-35127.84322854699,-16944.064919186785,1627,7,0,0,6,1992
delta_only,50,0.9,1.0,2.5,1235,371,1.0154753560731573,1.0464209721407853,37.40890688259109,35.04043126684636,8683.792473639769,9487.285484240201,-30041.196413753314,-16865.657967303414,1599,7,0,0,6,1992
delta_only,50,0.9,1.0,2.75,1216,368,1.0366832700954085,0.9995432534105053,36.5953947368421,32.608695652173914,20425.681806381217,-95.5538250826794,-25666.066883272615,-22012.320578154686,1577,7,0,0,6,1992
delta_only,50,0.9,1.0,3.0,1203,359,1.0345633407049295,1.0423457743582891,35.910224438902745,31.754874651810585,19211.662063752192,8770.80349308293,-22240.00787861114,-19357.270855170427,1555,7,0,0,6,1992
delta_only,50,0.9,1.25,1.0,1387,413,0.9745854357536163,0.9838796101275242,55.803893294881036,52.78450363196126,-13881.766291935091,-3154.311859953159,-44285.328097441925,-16695.248949295055,1793,7,0,0,7,1990
delta_only,50,0.9,1.25,1.25,1332,402,0.9561070331830789,0.9990784901423189,51.351351351351354,48.756218905472636,-25350.20786481884,-191.384576425844,-60836.91318141897,-16299.306446105693,1727,7,0,0,7,1989
delta_only,50,0.9,1.25,1.5,1288,381,0.9164331001457349,1.0602064385950172,47.36024844720497,47.76902887139108,-50498.36204612282,12290.144804350202,-70405.97719655998,-17789.462681963632,1662,7,0,0,7,1989
delta_only,50,0.9,1.25,1.75,1260,372,0.9454943169247584,1.142694964218331,45.95238095238095,47.31182795698925,-33097.132126471915,28842.639737608406,-65021.793980828734,-18055.1814229531,1625,7,0,0,7,1989
delta_only,50,0.9,1.25,2.0,1237,368,0.9592948724228568,1.1985117085345975,44.21988682295877,45.92391304347826,-24809.825545909807,40356.588315778645,-53720.76011290392,-18579.488305987397,1598,7,0,0,7,1989
delta_only,50,0.9,1.25,2.25,1203,362,0.992265188652268,1.1492437873323038,43.30839567747299,43.646408839779006,-4652.367704895587,31197.762278901137,-49766.14337202889,-18501.081354104026,1558,7,0,0,6,1989
delta_only,50,0.9,1.25,2.5,1177,358,1.008269697454028,1.1326755848511993,42.05607476635514,41.62011173184357,4961.309824627133,28052.242457569373,-43646.78082957256,-18422.674402220655,1528,7,0,0,6,1989
delta_only,50,0.9,1.25,2.75,1154,353,1.0229005311913553,1.0879679306032926,41.074523396880416,39.6600566572238,13639.508143608,19082.215941547474,-40620.77014641836,-21095.44443464234,1500,7,0,0,6,1989
delta_only,50,0.9,1.25,3.0,1141,343,1.0150207024489488,1.135632320334248,40.227870289219986,38.775510204081634,8959.085427699174,29077.883820525894,-36903.78902488177,-21404.061090879477,1477,7,0,0,6,1989
delta_only,50,0.9,1.5,1.0,1349,407,1.0073919798317303,0.9355956914158075,59.89621942179392,55.28255528255528,4075.1310412892053,-13615.522992064798,-35227.696262559766,-22200.5057077331,1749,7,0,0,7,1985
delta_only,50,0.9,1.5,1.25,1286,393,0.9993806918043746,0.9665305272938665,55.7542768273717,51.908396946564885,-358.75498891782627,-7400.723659180949,-48366.23292612156,-21733.280461211907,1672,7,0,0,7,1984
delta_only,50,0.9,1.5,1.5,1238,371,0.9720828423483598,1.0353606701527267,52.019386106623585,51.21293800539083,-16886.98009458585,7609.45634350559,-53858.972098387385,-23418.97126659198,1602,7,0,0,7,1983
delta_only,50,0.9,1.5,1.75,1204,362,1.0034259861824708,1.1006488928475926,50.498338870431894,50.828729281767956,2089.765333689211,21688.907941149155,-51143.68157956913,-19965.137388635994,1559,7,0,0,6,1983
delta_only,50,0.9,1.5,2.0,1175,358,1.0136700158989356,1.1560819591627796,48.51063829787234,49.44134078212291,8368.552167866219,33761.28271008238,-40390.888030321075,-19838.545556166646,1526,7,0,0,6,1983
delta_only,50,0.9,1.5,2.25,1144,351,1.0450316141716143,1.1356111124790274,47.55244755244755,47.578347578347575,27293.174592833566,29731.312467984244,-31702.38117136425,-19650.2039743762,1488,7,0,0,6,1983
delta_only,50,0.9,1.5,2.5,1120,348,1.063856775122972,1.106820923803117,46.42857142857143,45.11494252873563,38545.06603148606,23998.42908384504,-23500.317883697026,-21220.81647109917,1461,7,0,0,6,1983
delta_only,50,0.9,1.5,2.75,1096,344,1.05895189334111,1.0894102464645148,45.16423357664234,43.31395348837209,35545.5043353733,20480.274743939663,-25909.92505920225,-21700.938787265186,1433,7,0,0,6,1982
delta_only,50,0.9,1.5,3.0,1081,334,1.0457948237080972,1.0965161576538391,44.21831637372803,41.91616766467066,27628.593208538805,22254.639905154836,-24829.573398823377,-21628.335410059153,1408,7,0,0,6,1982
delta_only,50,0.9,1.75,1.0,1318,399,1.0436626945207934,0.9687234270034274,63.201820940819424,58.64661654135338,23899.705078774678,-6596.9183734788385,-31035.44894358427,-25495.51275360558,1710,7,0,0,7,1972
delta_only,50,0.9,1.75,1.25,1258,385,1.0246560976957237,0.9932365736212574,59.06200317965024,55.064935064935064,14351.87583304134,-1509.0097022189002,-47142.80419706869,-23908.193834424383,1636,7,0,0,7,1971
delta_only,50,0.9,1.75,1.5,1206,365,1.0150783324737012,1.0148986358497674,55.63847429519071,53.42465753424658,9089.66057238671,3327.6190422052605,-49321.26859482083,-22217.957172185488,1564,7,0,0,7,1970
delta_only,50,0.9,1.75,1.75,1172,355,1.043706448024573,1.071241221433142,54.01023890784983,52.95774647887324,26728.258622168578,15982.737546978096,-46682.5154348242,-20230.09955401263,1520,7,0,0,6,1969
delta_only,50,0.9,1.75,2.0,1141,351,1.0445567492832382,1.1333574090984122,51.79666958808063,51.851851851851855,27487.920843098582,29940.30726219411,-43851.62414401853,-19777.1693407181,1485,7,0,0,6,1968
delta_only,50,0.9,1.75,2.25,1108,343,1.0641085495148828,1.1275615499138918,50.541516245487365,50.14577259475219,39416.37019730257,28734.99486914283,-36324.08852948709,-19324.239127423643,1444,7,0,0,6,1968
delta_only,50,0.9,1.75,2.5,1084,339,1.0848042170346017,1.1011541274248302,49.53874538745387,47.78761061946903,51921.77050796516,23363.125903049367,-29761.12731769772,-20275.427813849383,1416,7,0,0,6,1968
delta_only,50,0.9,1.75,2.75,1060,335,1.0796799644027697,1.082690139715151,48.301886792452834,45.97014925373134,48805.49736000183,19518.018536526288,-31031.227968033163,-21928.235651058712,1388,7,0,0,6,1967
delta_only,50,0.9,1.75,3.0,1044,325,1.0766110646552924,1.0899153843413747,47.60536398467433,44.61538461538461,46622.357573283116,21388.278024952306,-29665.35191639945,-25110.464136389637,1362,7,0,0,6,1966
delta_only,50,0.9,2.0,1.0,1293,393,1.047697892486744,0.9954915282967104,65.50657385924207,61.06870229007634,26334.628937984162,-950.7174790668796,-36648.41168552015,-25192.793271750634,1679,7,0,0,7,1960
delta_only,50,0.9,2.0,1.25,1230,374,1.027344607948089,1.0450014920545476,61.46341463414634,58.288770053475936,16101.206028093984,9741.99869728087,-48961.00278681173,-27842.203654291516,1597,7,0,0,7,1958
delta_only,50,0.9,2.0,1.5,1174,357,1.0201009105250034,1.0654319005002266,58.17717206132879,56.86274509803921,12224.863560295998,14346.421184986248,-48141.34153548726,-25449.711616917266,1524,7,0,0,7,1955
delta_only,50,0.9,2.0,1.75,1141,346,1.0532123988106707,1.1233832872799276,56.792287467134095,56.06936416184971,32810.9370987691,27014.350558924052,-47316.321912982276,-23979.385096157057,1480,7,0,0,6,1954
delta_only,50,0.9,2.0,2.0,1108,342,1.0461348646279813,1.1910502292315548,54.24187725631769,54.97076023391813,28760.416327400235,41861.320342222534,-42054.50938130529,-21740.224204958504,1443,7,0,0,6,1953
delta_only,50,0.9,2.0,2.25,1077,332,1.0592620755178261,1.1629824244767633,53.017641597028785,53.31325301204819,37084.37952184624,36297.745202925726,-37938.71851187694,-22653.770502771877,1402,7,0,0,6,1953
delta_only,50,0.9,2.0,2.5,1053,327,1.0781446961807537,1.1088979028706822,52.04178537511871,50.764525993883794,48663.31400148298,25267.785667399075,-30661.23483098774,-27436.906185611733,1373,7,0,0,6,1953
delta_only,50,0.9,2.0,2.75,1029,323,1.0717210864932847,1.0812272067472295,50.63168124392614,48.916408668730654,44783.42594811849,19438.30191739282,-30967.6180024325,-29347.13396671832,1345,7,0,0,6,1952
