mode,absorption,lowz,n,n_is,n_oos,pnl,pnl_is,pnl_oos,pf,pf_is,pf_oos,wr,wr_is,wr_oos,mdd,mdd_is,mdd_oos
SAME,True,0.9,1798,1459,339,170774.02263135577,129004.8166066112,41769.20602474456,1.156966282358226,1.1552109593859399,1.1626473688463814,54.11568409343715,54.00959561343386,54.57227138643068,-22999.527292977044,-22999.527292977044,-22506.051907764122
SAME,True,1.0,1831,1487,344,186974.40633162827,138493.16337246506,48481.24295916321,1.1689117472231787,1.1631536440837433,1.1878504142280315,54.23265974877116,54.13584398117014,54.651162790697676,-22506.05190776421,-21905.248630114933,-22506.051907764122
SAME,True,1.1,1858,1506,352,190830.23214482286,138786.3323957978,52043.89974902508,1.169911287082734,1.161015494937525,1.199269899438556,54.251883745963404,54.05046480743692,55.11363636363637,-25501.41848930475,-25501.41848930475,-20621.26175182224
SAME,True,1.2,1884,1526,358,196470.0969312305,141541.13096596455,54928.96596526596,1.1731881878856454,1.1625062526047711,1.2085046165859454,54.35244161358811,54.12844036697248,55.3072625698324,-26140.29242800396,-26140.29242800396,-20621.26175182224
SAME,True,1.3,1908,1545,363,199768.9788751815,141583.3669091983,58185.61196598319,1.1730338256642805,1.1598321213027436,1.2165587851312787,54.140461215932916,53.91585760517799,55.09641873278237,-27649.481063081374,-27649.481063081374,-24273.010987413727
SAME,True,1.4,1931,1563,368,186733.81960164735,131747.99744091905,54985.822160728276,1.158378273736723,1.1457516736484576,1.1998642474066612,53.85810460901087,53.61484325015995,54.891304347826086,-27603.522664762175,-27603.522664762175,-24273.010987413727
SAME,True,1.5,1943,1571,372,175670.10274446534,122711.91573268933,52958.187011776026,1.1469829003802536,1.1339901673494204,1.1895792032507517,53.73134328358209,53.5964353914704,54.30107526881721,-27228.647574734365,-27228.647574734365,-25933.168021304737
SAME,True,1.6,1952,1578,374,168371.7548511392,115856.95401616929,52514.80083496994,1.1393420400608623,1.1248418389461359,1.187349212014717,53.739754098360656,53.61216730038023,54.27807486631016,-26248.647574734365,-26248.647574734365,-25369.731976657495
SAME,True,1.7,1965,1588,377,168588.04335891124,115905.76892195686,52682.274436954394,1.1382108222936955,1.1238693066511833,1.1854494729458054,53.842239185750635,53.71536523929471,54.37665782493369,-28356.21977448011,-28356.21977448011,-26649.30550855832
SAME,True,1.8,1978,1597,381,166013.18352479726,111654.27594851732,54358.90757627996,1.1348508529699792,1.1182937325895372,1.1892625721719254,53.94337714863499,53.72573575453976,54.85564304461942,-28861.377647909903,-25946.696219499907,-28861.377647909903
SAME,True,1.9,1985,1604,381,174903.5490685275,120929.40166167995,53974.14740684755,1.1419360321448768,1.1279600385987962,1.1879229444534343,54.005037783375315,53.80299251870324,54.85564304461942,-28141.377647909903,-27812.751591872977,-28141.377647909903
SAME,True,2.0,1997,1614,383,157859.89784754894,100485.21069876653,57374.687148782396,1.1263192436668807,1.1043898321568228,1.199846173512489,53.83074611917877,53.46964064436183,55.35248041775457,-28141.377647909903,-27555.56302659714,-28141.377647909903
SAME,False,0.9,2578,1969,609,115749.14525111465,80012.91774848328,35736.22750263137,1.0717161031759812,1.0693299311677291,1.0777040216369604,52.98681148176881,53.17420010157441,52.38095238095238,-37386.70712081803,-37386.70712081803,-35383.999113315
SAME,False,1.0,2620,1997,623,120305.77599112144,83071.42460351938,37234.35138760207,1.0730324465006253,1.070503761149293,1.0793846898083317,52.82442748091603,52.97946920380571,52.32744783306581,-39440.2322987291,-39440.2322987291,-35026.44669958114
SAME,False,1.1,2656,2023,633,140084.09147690207,87161.06214162134,52923.029335280735,1.0844683889618933,1.0730501396715018,1.1137511555334212,52.93674698795181,52.94117647058823,52.92259083728278,-39773.64621302906,-39773.64621302906,-29203.220409764617
SAME,False,1.2,2692,2052,640,140871.00553714565,79461.48157152758,61409.523965618064,1.0839157430937203,1.0655519029091673,1.1316310073791218,53.04606240713225,52.97270955165692,53.28125,-36935.66307063498,-36935.66307063498,-28076.510158013916
SAME,False,1.3,2714,2066,648,140578.5781470983,87225.76789999854,53352.81024709977,1.08300300251612,1.0717319152305789,1.1116962301337747,52.87398673544584,52.85575992255566,52.9320987654321,-29721.765733457753,-29702.86829895307,-29721.765733457723
SAME,False,1.4,2738,2087,651,132634.79016265032,81227.97558310238,51406.814579547936,1.0772384282378382,1.0657605515018596,1.106652213639649,52.81227173119065,52.755150934355534,52.995391705069125,-33115.814672751876,-33115.814672751876,-31509.091917378246
SAME,False,1.5,2756,2100,656,128472.93242254964,78710.37779127852,49762.55463127112,1.0742424803262842,1.063152771940407,1.1027935972375675,52.79390420899855,52.80952380952381,52.74390243902439,-37371.78679229248,-37371.78679229248,-31181.97179904586
SAME,False,1.6,2767,2107,660,117148.11032876943,66323.70365217127,50824.406676598155,1.0670332644703417,1.0525391717270922,1.1047397153037473,52.6924466931695,52.728998576174654,52.57575757575758,-35412.94141609287,-35412.94141609287,-30967.371704817342
SAME,False,1.7,2776,2113,663,130402.69997811982,75648.5922702667,54754.10770785311,1.0745347776363579,1.05996133303762,1.1122166376104923,52.845821325648416,52.863227638428775,52.790346907993964,-34822.94141609287,-34822.94141609287,-29567.707924891947
SAME,False,1.8,2791,2125,666,135506.5523122718,72286.82350167935,63219.72881059242,1.0772155983340228,1.0569323110930873,1.130292478052691,53.13507703332139,52.98823529411764,53.6036036036036,-35067.94141609287,-35067.94141609287,-27502.613568924717
SAME,False,1.9,2803,2135,668,131978.76475746126,71558.21829253538,60420.546464925865,1.0747601847837032,1.0560010449856367,1.1239242822228046,53.05030324652159,52.92740046838407,53.44311377245509,-35067.94141609287,-35067.94141609287,-27502.613568924717
SAME,False,2.0,2815,2145,670,117550.89708187964,55170.42471164266,62380.47237023697,1.0660425370599358,1.042689446067272,1.1279441467430065,52.93072824156305,52.72727272727273,53.582089552238806,-35162.94141609287,-35162.94141609287,-27502.613568924717
FADE,True,0.9,1956,1565,391,158380.8313235579,114025.1286041232,44355.7027194347,1.1354964584989267,1.1276143953177096,1.1610710595008895,50.76687116564417,50.47923322683706,51.91815856777494,-32434.35534941811,-32434.35534941811,-21983.203172171925
FADE,True,1.0,1996,1589,407,142393.91275058512,105774.51356222929,36619.39918835582,1.1174288777839623,1.1149129241073847,1.125356646125728,50.80160320641283,50.59786028949024,51.597051597051596,-32526.51447534092,-32526.51447534092,-23792.687601016514
FADE,True,1.1,2028,1615,413,113453.22397633547,85143.29230713574,28309.931669199723,1.090957556313372,1.0898939078694676,1.09431380980913,50.39447731755424,50.27863777089783,50.847457627118644,-31275.447315187048,-31275.447315187048,-24829.077840725877
FADE,True,1.2,2053,1636,417,129960.3917105151,94552.10692028631,35408.28479022879,1.1036784946194838,1.099153864089396,1.1180652134399205,50.511446663419385,50.30562347188264,51.3189448441247,-29698.748827274867,-29698.748827274867,-24829.077840725877
FADE,True,1.3,2074,1649,425,109188.72080271732,79088.41680651382,30100.30399620351,1.08544491901545,1.0819057805689076,1.0963882374715432,50.38572806171649,50.212249848392965,51.05882352941177,-36516.121343335835,-29643.369688861094,-32797.52584948423
FADE,True,1.4,2097,1669,428,100517.25498027354,69189.3525524979,31327.902427775625,1.0772907968370398,1.070164840213952,1.0996402161717302,50.16690510252742,49.91012582384661,51.16822429906542,-35600.19826009964,-29398.25989977442,-32797.52584948423
FADE,True,1.5,2116,1684,432,111212.59372233882,74185.76234411684,37026.83137822198,1.0848586108661606,1.0744716788670372,1.1177688032755957,50.189035916824196,49.82185273159145,51.620370370370374,-34890.04122620863,-29398.25989977442,-32797.52584948423
FADE,True,1.6,2129,1694,435,107814.08683853992,73294.3875084189,34519.699330121,1.0815430347550543,1.0729539317440897,1.1087209435871397,50.07045561296383,49.70484061393152,51.49425287356322,-37634.15054698846,-29398.25989977442,-34896.63517026405
FADE,True,1.7,2142,1703,439,87836.896280571,60525.42467838888,27311.471602182137,1.0654690238738393,1.0595755413613976,1.0838516935910765,49.85994397759104,49.559600704638875,51.0250569476082,-40394.21019030051,-29398.25989977442,-35750.51479609705
FADE,True,1.8,2150,1709,441,91923.69150093655,66450.76630640149,25472.925194535055,1.0683054747122716,1.0653668708906734,1.0773802207747678,49.72093023255814,49.50263311878292,50.56689342403628,-36952.138050948925,-29398.25989977442,-34896.63517026405
FADE,True,1.9,2165,1721,444,86889.51426786614,62098.178311106494,24791.33595675965,1.0638434718412997,1.0603245110672042,1.0747683717731618,49.65357967667436,49.4479953515398,50.450450450450454,-40288.67366957864,-32014.795518404135,-34896.63517026405
FADE,True,2.0,2180,1733,447,82861.22527140364,63580.42905657883,19280.796214824804,1.0604075193914366,1.0614361176100473,1.057246898149746,49.4954128440367,49.451817657241776,49.66442953020134,-42073.67366957864,-32014.795518404135,-34896.63517026405
FADE,False,0.9,2578,1969,609,79880.2261563933,27342.624622874384,52537.6015335189,1.0489484526226536,1.0231633878592619,1.1163620374700345,49.418153607447636,49.06043676993398,50.57471264367816,-75136.3186653969,-68032.7800496728,-37743.61099896327
FADE,False,1.0,2620,1997,623,73777.02744533602,12391.75547407187,61385.271971264156,1.04416314340002,1.0102107827709923,1.1343335832831356,49.541984732824424,49.12368552829244,50.88282504012841,-74669.79459614995,-67461.82288370175,-38185.20033846304
FADE,False,1.1,2656,2023,633,77417.931906079,13275.263737467722,64142.66816861127,1.0458161129034134,1.010791927558377,1.1395489290528034,49.58584337349398,49.18437963420662,50.86887835703001,-64769.52545193766,-61494.58901481514,-33094.64755357512
FADE,False,1.2,2692,2052,640,92603.81089849953,33420.753432528836,59183.057465970705,1.054381557489925,1.0270566898691156,1.1265565969717066,49.70282317979198,49.36647173489279,50.78125,-58411.049715117624,-55632.01942314925,-32908.26419346173
FADE,False,1.3,2714,2066,648,96888.003169679,23688.231985189996,73199.771184489,1.0564779363984511,1.0189845237209068,1.1564979076768507,49.81577008106117,49.322362052274926,51.388888888888886,-60447.21485721493,-57172.27842009241,-33254.61932166996
FADE,False,1.4,2738,2087,651,91815.11266046327,14053.579019917888,77761.53364054539,1.0528395115245366,1.011076315780703,1.1658640833835323,49.78086194302411,49.257307139434594,51.45929339477727,-59675.275659537365,-56400.33922241484,-31954.61932166996
FADE,False,1.5,2756,2100,656,85605.72820078625,6199.934611964054,79405.7935888222,1.0488649513077297,1.0048338651628719,1.1692076816693833,49.67343976777939,49.04761904761905,51.676829268292686,-66170.49266848291,-62895.55623136039,-30843.201100235456
FADE,False,1.6,2767,2107,660,86472.73059485608,8128.789051360909,78343.94154349517,1.0490500386321364,1.0062942425988164,1.1661642025462982,49.6566678713408,48.97959183673469,51.81818181818182,-65703.68824304453,-62428.751805922,-31963.201100235456
FADE,False,1.7,2776,2113,663,66538.04564160327,-450.1240485638482,66988.16969016712,1.0373497139574186,0.9996536634234687,1.1390329277940343,49.42363112391931,48.84051112162802,51.282051282051285,-69321.27893335921,-66046.34249623668,-38403.97087860838
FADE,False,1.8,2791,2125,666,68159.98843190214,5315.13549360101,62844.85293830112,1.0381083322310694,1.0040785778688155,1.1294698647890193,49.19383733428879,48.705882352941174,50.750750750750754,-69617.42081185315,-66342.48437473063,-42683.552930688966
FADE,False,1.9,2803,2135,668,71026.94794512288,8809.97516578158,62216.972779341304,1.039550875172248,1.006729406765478,1.1278443269968326,49.268640742062075,48.8056206088993,50.74850299401198,-67315.78636739163,-64040.849930269105,-39414.52792835407
FADE,False,2.0,2815,2145,670,80965.447104678,20708.400230647785,60257.0468740302,1.0450253350387457,1.0158127933109353,1.1233203969281373,49.30728241563055,48.904428904428904,50.59701492537314,-71010.65676899772,-67735.7203318752,-39414.52792835407
