delta,lowz,sl,tp,n_is,n_oos,pf_is,pf_oos,wr_is,wr_oos,pnl_is,pnl_oos,mdd_is,mdd_oos
50,-1.0,1.0,1.0,987,274,1.0635115480870898,1.0469218404795215,51.26646403242148,48.175182481751825,23573.014153211152,6417.7251244705985,-23902.13229762834,-16628.374227073073
50,-1.0,1.0,1.25,966,268,1.0050275738063543,1.101186512053124,45.3416149068323,44.40298507462686,2039.7981519194946,14344.704124230266,-24362.01683691419,-17491.498413105583
50,-1.0,1.0,1.5,951,265,0.9895767692246131,1.1064918965663466,41.74553101997897,41.509433962264154,-4441.9065035172025,15741.333832385499,-25845.633424748594,-15626.86393609787
50,-1.0,1.0,1.75,941,260,0.988217045147351,1.1893610431376245,39.213602550478214,40.38461538461539,-5173.763931803405,27921.8500449953,-31214.041537196827,-14015.630911339322
50,-1.0,1.0,2.0,936,258,1.0392920073828067,1.2907150372617069,38.24786324786325,39.92248062015504,17389.369506766197,43020.39401968075,-36632.4220362429,-18181.633626414987
50,-1.0,1.0,2.25,921,255,1.0560348295259647,1.2054218494349105,37.13355048859935,37.254901960784316,24832.827712583858,31827.781325558244,-27568.342286278094,-17495.981481340714
50,-1.0,1.0,2.5,915,254,1.0169175237229138,1.1906319584708975,35.40983606557377,35.43307086614173,7623.68587625162,30664.35822126543,-37537.7422613536,-16810.32933626644
50,-1.0,1.0,2.75,905,251,1.015763138590499,1.2081330628630453,34.14364640883978,34.66135458167331,7124.633998317877,33736.53555327648,-37549.84364006534,-15858.652043717375
50,-1.0,1.0,3.0,900,250,1.0287755472066764,1.2405543965565085,33.666666666666664,34.4,13003.662327635611,38987.16998304888,-33404.17706269374,-17062.65921793318
50,-1.0,1.25,1.0,965,271,1.0869951795948092,1.0165667630496245,56.58031088082902,53.874538745387454,33939.257939701565,2484.6066491270903,-27564.369157976616,-20419.551834068843
50,-1.0,1.25,1.25,944,265,1.0323395563346627,1.0517370184729282,50.847457627118644,49.43396226415094,13910.61823288841,8192.799410552907,-28480.146172552923,-20355.794007957666
50,-1.0,1.25,1.5,929,262,1.0211319890203174,1.0636151057884202,47.36275565123789,46.56488549618321,9581.353588476704,10545.94946076184,-29611.114460845274,-22691.618405365152
50,-1.0,1.25,1.75,916,257,1.009542140896696,1.145091001291263,44.86899563318777,45.525291828793776,4478.451560962712,23958.29988659876,-25943.907804371265,-17792.893171071482
50,-1.0,1.25,2.0,909,255,1.0527221937682707,1.2437195737615396,43.67436743674367,45.09803921568628,25043.617246616523,40405.40134001749,-31724.81414362599,-22240.89151141765
50,-1.0,1.25,2.25,892,252,1.0603576703002233,1.1730436519164984,42.37668161434978,42.46031746031746,28753.199216166286,29795.01787676345,-27294.606240178764,-21555.239366343376
50,-1.0,1.25,2.5,885,251,1.0135793113072604,1.163782077190957,40.33898305084746,40.63745019920319,6605.559941239226,29271.413615772035,-33226.54417428523,-20869.587221269103
50,-1.0,1.25,2.75,874,248,1.019844686820483,1.1916522715816682,39.244851258581235,40.32258064516129,9648.801726860802,34354.99369810248,-34891.1345033977,-19574.698277193093
50,-1.0,1.25,3.0,869,247,1.0246115638253543,1.2219320652858776,38.55005753739931,40.08097165991903,11990.177154700723,39777.57630963097,-32029.74022876224,-20778.705451408896
50,-1.0,1.5,1.0,948,269,1.0872788251343828,1.0087732667514056,60.33755274261603,57.24907063197026,35346.265334516356,1393.1726042897935,-30515.600108130893,-22036.83184312278
50,-1.0,1.5,1.25,920,263,1.0283514113653123,1.063538029241095,54.78260869565217,53.61216730038023,12653.486295378316,10552.689191908576,-32317.21969525628,-20875.296785576793
50,-1.0,1.5,1.5,905,259,1.0117148498455129,1.1247590805516618,51.16022099447514,52.12355212355212,5570.507570772243,21001.549784732997,-33192.65042883337,-19716.650186513143
50,-1.0,1.5,1.75,891,254,0.9971175311346069,1.1858919998814879,48.597081930415264,50.78740157480315,-1423.6072332536423,31564.914993469647,-33877.18802870011,-18831.617671075146
