window,rule,trades,pnl,mdd,pf,wr,sharpe,mar
—,baseline,2782,533364.0,-24605.0,1.33,51.5,2.4,21.68
50,tiered_floor,2782,322897.0,-20782.0,1.3,51.5,2.09,15.54
50,continuous,2782,263776.0,-19733.0,1.29,51.5,1.91,13.37
50,binary_pause,2230,448263.0,-23294.0,1.34,51.8,2.32,19.24
50,half_risk,2782,490152.0,-23294.0,1.33,51.5,2.35,21.04
100,tiered_floor,2782,369426.0,-24952.0,1.31,51.5,2.17,14.81
100,continuous,2782,328339.0,-27455.0,1.3,51.5,2.02,11.96
100,binary_pause,2321,482767.0,-24070.0,1.35,52.0,2.42,20.06
100,half_risk,2782,507439.0,-23699.0,1.34,51.5,2.41,21.41
150,tiered_floor,2782,420045.0,-23287.0,1.34,51.5,2.32,18.04
150,continuous,2782,388874.0,-24726.0,1.34,51.5,2.21,15.73
150,binary_pause,2452,476005.0,-27210.0,1.32,51.8,2.28,17.49
150,half_risk,2782,503988.0,-25510.0,1.33,51.5,2.35,19.76
