entry_ts,exit_ts,direction,pnl_$,strat,cum,peak,dd,date,year
2020-12-01 19:00:00-05:00,2020-12-02 06:20:00-05:00,LONG,-335.0,OD,-335.0,-335.0,0.0,2020-12-02,2020
2020-12-02 19:00:00-05:00,2020-12-02 23:20:00-05:00,LONG,-20.0,OD,-355.0,-335.0,-20.0,2020-12-02,2020
2020-12-03 19:00:00-05:00,2020-12-04 07:20:00-05:00,LONG,310.0,OD,-45.0,-45.0,0.0,2020-12-04,2020
2020-12-07 10:25:00-05:00,2020-12-07 13:40:00-05:00,LONG,-700.0,B2,-745.0,-45.0,-700.0,2020-12-07,2020
2020-12-07 19:00:00-05:00,2020-12-08 02:00:00-05:00,LONG,-30.0,OD,-775.0,-45.0,-730.0,2020-12-08,2020
2020-12-08 19:00:00-05:00,2020-12-08 20:40:00-05:00,LONG,-870.0,OD,-1645.0,-45.0,-1600.0,2020-12-08,2020
2020-12-09 10:00:00-05:00,2020-12-09 10:20:00-05:00,LONG,-756.7308012170179,RV,-2401.730801217018,-45.0,-2356.730801217018,2020-12-09,2020
2020-12-09 11:00:00-05:00,2020-12-09 12:00:00-05:00,SHORT,994.9954702163814,RV,-1406.7353310006365,-45.0,-1361.7353310006365,2020-12-09,2020
2020-12-09 14:20:00-05:00,2020-12-09 15:00:00-05:00,SHORT,20.0,RV,-1386.7353310006365,-45.0,-1341.7353310006365,2020-12-09,2020
2020-12-09 19:00:00-05:00,2020-12-09 22:20:00-05:00,LONG,-740.0,OD,-2126.7353310006365,-45.0,-2081.7353310006365,2020-12-09,2020
2020-12-10 19:00:00-05:00,2020-12-10 22:00:00-05:00,LONG,-1730.0,OD,-3856.7353310006365,-45.0,-3811.7353310006365,2020-12-10,2020
2020-12-13 19:00:00-05:00,2020-12-14 00:40:00-05:00,LONG,-420.0,OD,-4276.7353310006365,-45.0,-4231.7353310006365,2020-12-14,2020
2020-12-14 19:00:00-05:00,2020-12-14 21:20:00-05:00,LONG,-1140.0,OD,-5416.7353310006365,-45.0,-5371.7353310006365,2020-12-14,2020
2020-12-15 19:00:00-05:00,2020-12-16 06:20:00-05:00,LONG,760.0,OD,-4656.7353310006365,-45.0,-4611.7353310006365,2020-12-16,2020
2020-12-16 10:00:00-05:00,2020-12-16 11:40:00-05:00,LONG,869.2629516930901,RV,-3787.4723793075464,-45.0,-3742.4723793075464,2020-12-16,2020
2020-12-16 14:35:00-05:00,2020-12-16 15:40:00-05:00,LONG,956.1729575740537,B2,-2831.2994217334926,-45.0,-2786.2994217334926,2020-12-16,2020
2020-12-16 19:00:00-05:00,2020-12-17 03:20:00-05:00,LONG,1315.0,OD,-1516.2994217334926,-45.0,-1471.2994217334926,2020-12-17,2020
2020-12-17 19:00:00-05:00,2020-12-17 21:40:00-05:00,LONG,-465.0,OD,-1981.2994217334926,-45.0,-1936.2994217334926,2020-12-17,2020
2020-12-18 11:40:00-05:00,2020-12-18 15:00:00-05:00,SHORT,585.0,RV,-1396.2994217334926,-45.0,-1351.2994217334926,2020-12-18,2020
2020-12-20 19:00:00-05:00,2020-12-21 02:00:00-05:00,LONG,-570.0,OD,-1966.2994217334926,-45.0,-1921.2994217334926,2020-12-21,2020
2020-12-21 19:00:00-05:00,2020-12-21 23:40:00-05:00,LONG,-270.0,OD,-2236.2994217334926,-45.0,-2191.2994217334926,2020-12-21,2020
2020-12-22 10:00:00-05:00,2020-12-22 10:20:00-05:00,LONG,-1067.5298069886412,RV,-3303.829228722134,-45.0,-3258.829228722134,2020-12-22,2020
2020-12-22 19:00:00-05:00,2020-12-22 19:40:00-05:00,LONG,-2690.0,OD,-5993.829228722134,-45.0,-5948.829228722134,2020-12-22,2020
2020-12-23 19:00:00-05:00,2020-12-24 08:00:00-05:00,LONG,265.0,OD,-5728.829228722134,-45.0,-5683.829228722134,2020-12-24,2020
2020-12-27 19:00:00-05:00,2020-12-28 03:00:00-05:00,LONG,810.0,OD,-4918.829228722134,-45.0,-4873.829228722134,2020-12-28,2020
2020-12-28 19:00:00-05:00,2020-12-29 05:00:00-05:00,LONG,505.0,OD,-4413.829228722134,-45.0,-4368.829228722134,2020-12-29,2020
2020-12-29 13:00:00-05:00,2020-12-29 16:20:00-05:00,LONG,210.0,B2,-4203.829228722134,-45.0,-4158.829228722134,2020-12-29,2020
2020-12-29 19:00:00-05:00,2020-12-30 07:00:00-05:00,LONG,935.0,OD,-3268.829228722134,-45.0,-3223.829228722134,2020-12-30,2020
2020-12-30 11:00:00-05:00,2020-12-30 15:00:00-05:00,SHORT,75.0,RV,-3193.829228722134,-45.0,-3148.829228722134,2020-12-30,2020
2020-12-30 19:00:00-05:00,2020-12-30 23:20:00-05:00,LONG,-245.0,OD,-3438.829228722134,-45.0,-3393.829228722134,2020-12-30,2020
2020-12-31 12:20:00-05:00,2020-12-31 15:00:00-05:00,SHORT,-520.0,RV,-3958.829228722134,-45.0,-3913.829228722134,2020-12-31,2020
2021-01-03 19:00:00-05:00,2021-01-04 02:00:00-05:00,LONG,3120.0,OD,-838.8292287221338,-45.0,-793.8292287221338,2021-01-04,2021
2021-01-04 19:00:00-05:00,2021-01-04 22:40:00-05:00,LONG,130.0,OD,-708.8292287221338,-45.0,-663.8292287221338,2021-01-04,2021
2021-01-05 09:40:00-05:00,2021-01-05 14:40:00-05:00,SHORT,-1397.2406816937655,RV,-2106.0699104158994,-45.0,-2061.0699104158994,2021-01-05,2021
2021-01-05 19:00:00-05:00,2021-01-05 19:40:00-05:00,LONG,-365.0,OD,-2471.0699104158994,-45.0,-2426.0699104158994,2021-01-05,2021
2021-01-06 19:00:00-05:00,2021-01-07 02:00:00-05:00,LONG,2910.0,OD,438.93008958410064,438.93008958410064,0.0,2021-01-07,2021
2021-01-07 09:40:00-05:00,2021-01-07 10:20:00-05:00,LONG,1349.418586356478,RV,1788.3486759405787,1788.3486759405787,0.0,2021-01-07,2021
2021-01-07 19:00:00-05:00,2021-01-08 04:20:00-05:00,LONG,245.0,OD,2033.3486759405787,2033.3486759405787,0.0,2021-01-08,2021
2021-01-08 12:00:00-05:00,2021-01-08 13:40:00-05:00,LONG,-1300.0,B2,733.3486759405787,2033.3486759405787,-1300.0,2021-01-08,2021
2021-01-10 19:00:00-05:00,2021-01-10 21:00:00-05:00,LONG,-865.0,OD,-131.6513240594213,2033.3486759405787,-2165.0,2021-01-10,2021
2021-01-11 10:30:00-05:00,2021-01-11 14:40:00-05:00,LONG,-1515.0,B2,-1646.6513240594213,2033.3486759405787,-3680.0,2021-01-11,2021
2021-01-11 19:00:00-05:00,2021-01-11 23:20:00-05:00,LONG,-1150.0,OD,-2796.6513240594213,2033.3486759405787,-4830.0,2021-01-11,2021
2021-01-12 09:40:00-05:00,2021-01-12 10:00:00-05:00,SHORT,1048.8898913986486,RV,-1747.7614326607727,2033.3486759405787,-3781.1101086013514,2021-01-12,2021
2021-01-12 11:20:00-05:00,2021-01-12 12:20:00-05:00,SHORT,1411.7214078343022,RV,-336.04002482647047,2033.3486759405787,-2369.388700767049,2021-01-12,2021
2021-01-12 12:40:00-05:00,2021-01-12 14:20:00-05:00,SHORT,-1703.353944428236,RV,-2039.3939692547065,2033.3486759405787,-4072.742645195285,2021-01-12,2021
2021-01-12 19:00:00-05:00,2021-01-13 05:20:00-05:00,LONG,-330.0,OD,-2369.3939692547065,2033.3486759405787,-4402.742645195285,2021-01-13,2021
2021-01-13 10:00:00-05:00,2021-01-13 11:20:00-05:00,LONG,1286.578493928173,RV,-1082.8154753265335,2033.3486759405787,-3116.164151267112,2021-01-13,2021
2021-01-13 14:05:00-05:00,2021-01-13 16:20:00-05:00,LONG,-475.0,B2,-1557.8154753265335,2033.3486759405787,-3591.164151267112,2021-01-13,2021
2021-01-13 19:00:00-05:00,2021-01-13 21:40:00-05:00,LONG,-380.0,OD,-1937.8154753265335,2033.3486759405787,-3971.164151267112,2021-01-13,2021
2021-01-14 19:00:00-05:00,2021-01-14 22:40:00-05:00,LONG,-625.0,OD,-2562.8154753265335,2033.3486759405787,-4596.164151267112,2021-01-14,2021
