entry_ts,exit_ts,direction,pnl_$,strat,cum,peak,dd
2020-12-01 10:20:00-05:00,2020-12-01 10:40:00-05:00,LONG,-1290.0,FB,-1290.0,-1290.0,0.0
2020-12-01 19:00:00-05:00,2020-12-02 07:00:00-05:00,LONG,-380.0,OD,-1670.0,-1290.0,-380.0
2020-12-02 10:45:00-05:00,2020-12-02 14:00:00-05:00,LONG,-245.0,FB,-1915.0,-1290.0,-625.0
2020-12-02 19:00:00-05:00,2020-12-03 08:00:00-05:00,LONG,560.0,OD,-1355.0,-1290.0,-65.0
2020-12-03 10:25:00-05:00,2020-12-03 11:10:00-05:00,LONG,-1485.0,FB,-2840.0,-1290.0,-1550.0
2020-12-03 19:00:00-05:00,2020-12-04 07:40:00-05:00,LONG,130.0,OD,-2710.0,-1290.0,-1420.0
2020-12-07 10:25:00-05:00,2020-12-07 13:40:00-05:00,LONG,-700.0,B2,-3410.0,-1290.0,-2120.0
2020-12-07 10:25:00-05:00,2020-12-07 14:00:00-05:00,LONG,-500.0,FB,-3910.0,-1290.0,-2620.0
2020-12-07 19:00:00-05:00,2020-12-08 06:00:00-05:00,LONG,-60.0,OD,-3970.0,-1290.0,-2680.0
2020-12-08 13:10:00-05:00,2020-12-08 14:00:00-05:00,LONG,280.0,FB,-3690.0,-1290.0,-2400.0
2020-12-08 19:00:00-05:00,2020-12-09 05:00:00-05:00,LONG,-1080.0,OD,-4770.0,-1290.0,-3480.0
2020-12-09 10:00:00-05:00,2020-12-09 10:20:00-05:00,LONG,-756.7308012170179,RV,-5526.730801217018,-1290.0,-4236.730801217018
2020-12-09 11:00:00-05:00,2020-12-09 12:00:00-05:00,SHORT,994.9954702163814,RV,-4531.7353310006365,-1290.0,-3241.7353310006365
2020-12-09 14:20:00-05:00,2020-12-09 15:00:00-05:00,SHORT,20.0,RV,-4511.7353310006365,-1290.0,-3221.7353310006365
2020-12-09 19:00:00-05:00,2020-12-10 06:40:00-05:00,LONG,-450.0,OD,-4961.7353310006365,-1290.0,-3671.7353310006365
2020-12-10 19:00:00-05:00,2020-12-11 05:20:00-05:00,LONG,-3390.0,OD,-8351.735331000637,-1290.0,-7061.7353310006365
2020-12-13 19:00:00-05:00,2020-12-14 08:00:00-05:00,LONG,200.0,OD,-8151.7353310006365,-1290.0,-6861.7353310006365
2020-12-14 10:15:00-05:00,2020-12-14 14:00:00-05:00,LONG,-235.0,FB,-8386.735331000637,-1290.0,-7096.7353310006365
2020-12-14 19:00:00-05:00,2020-12-15 08:00:00-05:00,LONG,1370.0,OD,-7016.7353310006365,-1290.0,-5726.7353310006365
2020-12-15 09:35:00-05:00,2020-12-15 09:40:00-05:00,LONG,-410.0,FB,-7426.7353310006365,-1290.0,-6136.7353310006365
2020-12-15 19:00:00-05:00,2020-12-16 06:20:00-05:00,LONG,760.0,OD,-6666.7353310006365,-1290.0,-5376.7353310006365
2020-12-16 10:00:00-05:00,2020-12-16 11:40:00-05:00,LONG,869.2629516930901,RV,-5797.472379307546,-1290.0,-4507.472379307546
2020-12-16 11:55:00-05:00,2020-12-16 14:00:00-05:00,LONG,-165.0,FB,-5962.472379307546,-1290.0,-4672.472379307546
2020-12-16 14:35:00-05:00,2020-12-16 15:40:00-05:00,LONG,956.1729575740537,B2,-5006.299421733493,-1290.0,-3716.2994217334926
2020-12-16 19:00:00-05:00,2020-12-17 06:40:00-05:00,LONG,945.0,OD,-4061.2994217334926,-1290.0,-2771.2994217334926
2020-12-17 09:35:00-05:00,2020-12-17 10:05:00-05:00,LONG,-655.0,FB,-4716.299421733493,-1290.0,-3426.2994217334926
2020-12-17 19:00:00-05:00,2020-12-18 05:20:00-05:00,LONG,-115.0,OD,-4831.299421733493,-1290.0,-3541.2994217334926
2020-12-18 11:40:00-05:00,2020-12-18 15:00:00-05:00,SHORT,585.0,RV,-4246.299421733493,-1290.0,-2956.2994217334926
2020-12-20 19:00:00-05:00,2020-12-21 05:00:00-05:00,LONG,-6080.0,OD,-10326.299421733493,-1290.0,-9036.299421733493
2020-12-21 12:55:00-05:00,2020-12-21 14:00:00-05:00,LONG,805.0,FB,-9521.299421733493,-1290.0,-8231.299421733493
