mnq,dd_mode,pass_rate,median_days,p25,p75,fail_dd_unreal,fail_dd_real,fail_daily_unreal,fail_daily_real,fail_horizon
0.5,trailing_to_initial,0.1426,327,293,347,0.0,0.0,0.0,0.0,1.0
1.0,trailing_to_initial,0.8626,219,173,273,0.043668122270742356,0.0,0.0,0.0,0.9563318777292577
2.0,trailing_to_initial,0.838,103,72,143,0.5691358024691358,0.0345679012345679,0.3728395061728395,0.0,0.02345679012345679
3.0,trailing_to_initial,0.6588,57,39,82,0.6471277842907386,0.05275498241500586,0.30011723329425555,0.0,0.0
4.0,trailing_to_initial,0.5714,36,24,53,0.7050863275781615,0.07419505366308912,0.22071861875874943,0.0,0.0
5.0,trailing_to_initial,0.4964,26,17,37,0.6544876886417792,0.09054805401111994,0.23193010325655283,0.023034154090548053,0.0
6.0,trailing_to_initial,0.4838,18,12,27,0.6842309182487408,0.09143742735373886,0.22433165439752034,0.0,0.0
7.0,trailing_to_initial,0.4352,15,10,22,0.6512039660056658,0.09702549575070822,0.25177053824362605,0.0,0.0
8.0,trailing_to_initial,0.4056,11,7,17,0.6032974427994616,0.11641991924629878,0.24192462987886945,0.03835800807537012,0.0
9.0,trailing_to_initial,0.3888,10,7,15,0.574607329842932,0.12532722513089006,0.21269633507853403,0.08736910994764398,0.0
10.0,trailing_to_initial,0.372,8,5,12,0.5070063694267516,0.11146496815286625,0.30987261146496814,0.07165605095541401,0.0
0.5,static_from_initial,0.151,326,294,347,0.0,0.0,0.0,0.0,1.0
1.0,static_from_initial,0.862,219,173,273,0.0014492753623188406,0.0,0.0,0.0,0.9985507246376811
2.0,static_from_initial,0.8976,108,74,155,0.0546875,0.0,0.84375,0.0,0.1015625
3.0,static_from_initial,0.7798,63,42,94,0.11807447774750227,0.005449591280653951,0.8755676657584015,0.0,0.0009082652134423251
4.0,static_from_initial,0.727,42,27,64,0.24468864468864468,0.013186813186813187,0.7421245421245422,0.0,0.0
5.0,static_from_initial,0.64,29,18,46,0.2727777777777778,0.015555555555555555,0.6455555555555555,0.0661111111111111,0.0
6.0,static_from_initial,0.6276,23,15,36,0.37379162191192267,0.017185821697099892,0.6090225563909775,0.0,0.0
7.0,static_from_initial,0.566,17,11,27,0.31797235023041476,0.020276497695852536,0.6617511520737327,0.0,0.0
8.0,static_from_initial,0.5368,14,9,22,0.3121761658031088,0.01770293609671848,0.6010362694300518,0.0690846286701209,0.0
9.0,static_from_initial,0.5122,11,7,18,0.3066830668306683,0.015170151701517014,0.5297252972529726,0.14842148421484214,0.0
10.0,static_from_initial,0.4556,9,6,14,0.23475385745775165,0.018001469507714914,0.6010286554004408,0.1462160176340926,0.0
