cutoff,mnq,dd_mode,pass_rate,median_days,p25,p75,bust_dd_unreal,bust_dd_real,bust_daily_unreal,bust_daily_real,bust_horizon
none,1,trailing_to_initial,0.854,222,173,276,0.005,0.00020000000000000004,0.0,0.0,0.14080000000000004
none,1,static_from_initial,0.8722,220,173,277,0.0,0.0,0.0,0.0,0.12780000000000002
none,2,trailing_to_initial,0.813,104,74,147,0.11220000000000004,0.005000000000000001,0.06620000000000002,0.0,0.003600000000000001
none,2,static_from_initial,0.8994,107,75,154,0.004600000000000001,0.00020000000000000004,0.08600000000000002,0.0,0.009800000000000001
none,3,trailing_to_initial,0.6638,57,38,82,0.21880000000000005,0.019800000000000005,0.0976,0.0,0.0
none,3,static_from_initial,0.779,64,42,94,0.0288,0.001,0.19099999999999998,0.0,0.00019999999999999998
none,4,trailing_to_initial,0.5738,36,24,54,0.2916,0.035,0.09960000000000001,0.0,0.0
none,4,static_from_initial,0.7234,43,27,65,0.06639999999999999,0.0024,0.20779999999999998,0.0,0.0
15000,1,trailing_to_initial,0.7896,228,179,284,0.015000000000000001,0.001,0.0,0.0,0.19440000000000004
15000,1,static_from_initial,0.79,226,178,281,0.0003999999999999999,0.0,0.0,0.0,0.20959999999999998
15000,2,trailing_to_initial,0.7576,104,73,144,0.12359999999999997,0.006199999999999999,0.11039999999999998,0.0,0.0021999999999999997
15000,2,static_from_initial,0.8156,107,74,156,0.006,0.0004,0.1686,0.0,0.0094
15000,3,trailing_to_initial,0.702,58,40,84,0.267,0.018400000000000003,0.012600000000000002,0.0,0.0
15000,3,static_from_initial,0.8646,67,44,103,0.04759999999999999,0.0015999999999999996,0.08479999999999997,0.0,0.0013999999999999996
15000,4,trailing_to_initial,0.592,37,25,54,0.24900000000000003,0.0324,0.12660000000000002,0.0,0.0
15000,4,static_from_initial,0.7314,42,27,65,0.04259999999999999,0.0019999999999999996,0.22399999999999995,0.0,0.0
12500,1,trailing_to_initial,0.7978,229,178,284,0.011000000000000003,0.0014000000000000004,0.0,0.0,0.18980000000000002
12500,1,static_from_initial,0.8084,227,176,284,0.0,0.0,0.0,0.0,0.1916
12500,2,trailing_to_initial,0.7634,104,74,144,0.10500000000000001,0.006200000000000001,0.12380000000000001,0.0,0.0016
12500,2,static_from_initial,0.8064,106,74,155,0.0052,0.0004,0.176,0.0,0.012
12500,3,trailing_to_initial,0.7104,58,40,84,0.24539999999999995,0.016599999999999997,0.0276,0.0,0.0
12500,3,static_from_initial,0.8614,66,43,101,0.04099999999999998,0.0009999999999999996,0.09559999999999996,0.0,0.0009999999999999996
12500,4,trailing_to_initial,0.5722,36,25,53,0.24919999999999995,0.031599999999999996,0.147,0.0,0.0
12500,4,static_from_initial,0.7228,42,28,65,0.0378,0.0021999999999999997,0.23720000000000002,0.0,0.0
10000,1,trailing_to_initial,0.7554,234,181,290,0.010800000000000002,0.001,0.0,0.0,0.23280000000000003
10000,1,static_from_initial,0.7528,235,183,291,0.00019999999999999998,0.0,0.0,0.0,0.247
10000,2,trailing_to_initial,0.7262,105,74,150,0.12200000000000003,0.009200000000000002,0.138,0.0,0.004600000000000001
10000,2,static_from_initial,0.7954,113,77,162,0.0084,0.0008,0.1834,0.0,0.012
10000,3,trailing_to_initial,0.6656,60,41,87,0.271,0.021400000000000002,0.042,0.0,0.0
10000,3,static_from_initial,0.8488,68,44,108,0.0446,0.0014,0.10360000000000001,0.0,0.0015999999999999999
10000,4,trailing_to_initial,0.5962,38,25,56,0.33140000000000003,0.037000000000000005,0.0354,0.0,0.0
10000,4,static_from_initial,0.7772,45,29,71,0.0962,0.0056,0.121,0.0,0.0
