scenario,mnq,p1_pass,p2_pass,both_pass,p1_med,p2_med,total_med
Standard CFD,2,0.994,0.9932,0.9872407999999999,66,38,104
Standard CFD,3,0.8488,0.8902,0.75560176,37,21,58
Standard CFD,4,0.7326,0.8114,0.59443164,23,13,36
Standard CFD,5,0.5848,0.709,0.41462319999999997,16,10,26
Raw spread + swap-free CONSERVATIVE,2,0.9952,0.9954,0.99062208,62,37,99
Raw spread + swap-free CONSERVATIVE,3,0.863,0.9064,0.7822232,35,21,56
Raw spread + swap-free CONSERVATIVE,4,0.7476,0.812,0.6070512000000001,23,13,36
Raw spread + swap-free CONSERVATIVE,5,0.6112,0.7388,0.45155456,16,9,25
Raw spread + swap-free OPTIMISTIC,2,0.9972,0.9972,0.9944078399999999,60,35,95
Raw spread + swap-free OPTIMISTIC,3,0.8686,0.9076,0.78834136,35,20,55
Raw spread + swap-free OPTIMISTIC,4,0.7518,0.8356,0.62820408,22,13,35
Raw spread + swap-free OPTIMISTIC,5,0.6206,0.7404,0.45949224,15,9,24
CME futures (for reference),2,0.9974,0.9968,0.9942083199999999,57,34,91
CME futures (for reference),3,0.8738,0.9164,0.80075032,34,20,54
CME futures (for reference),4,0.7562,0.8352,0.6315782400000001,23,13,36
CME futures (for reference),5,0.6256,0.7366,0.46081696000000005,16,9,25
