label,mnq,p1_pass,p2_pass,both_pass,p1_med_days,p2_med_days,total_med_days
FULL SAMPLE (2020-12 -> 2026-05),1,0.74,0.9174,0.678876,218,138,356
FULL SAMPLE (2020-12 -> 2026-05),2,0.8662,0.916,0.7934392,106,62,168
FULL SAMPLE (2020-12 -> 2026-05),3,0.7478,0.8246,0.61663588,58,34,92
FULL SAMPLE (2020-12 -> 2026-05),4,0.6866,0.772,0.5300552000000001,36,21,57
FULL SAMPLE (2020-12 -> 2026-05),5,0.6234,0.7222,0.45021947999999995,25,15,40
RECENT REGIME (2025-01-01 -> 2026-05),1,0.9818,0.997,0.9788546,140,85,225
RECENT REGIME (2025-01-01 -> 2026-05),2,0.9926,0.993,0.9856518000000001,66,39,105
RECENT REGIME (2025-01-01 -> 2026-05),3,0.8528,0.895,0.763256,37,21,58
RECENT REGIME (2025-01-01 -> 2026-05),4,0.7354,0.8108,0.59626232,24,14,38
RECENT REGIME (2025-01-01 -> 2026-05),5,0.5882,0.7144,0.42021008,16,9,25
