mnq,schedule,bust_rate,median_payouts,mean_payouts,median_total_extracted,mean_total_extracted,p25_extracted,p75_extracted,avg_payout,per_day_mean
0.5,on_demand_2k,0.0,2,2.0496666666666665,4900.460467315024,4882.8100561834635,3571.4306615259156,6239.058964422635,2089.513368798039,19.37623038168041
0.5,bi_weekly,0.0,15,14.410333333333334,4325.2053450390595,4359.912503430056,3130.4964393471128,5543.5345814167085,306.6017113794691,17.301240092976414
0.5,monthly,0.0,9,8.69,4651.856525266507,4665.028893242863,3323.1871326133623,6008.964237670978,524.2394384145623,18.51201941763041
1.0,on_demand_2k,0.0003333333333333333,4,4.324666666666666,9759.1022766311,9686.37884096729,7066.672629488632,12342.570386756623,2181.761335099005,38.43801127367973
1.0,bi_weekly,0.0,15,14.508666666666667,8845.383348142343,8813.24185069197,6240.32508120903,11304.035349705726,614.8309323765067,34.973181947190355
1.0,monthly,0.0,9,8.686333333333334,9181.376421001267,9223.79560941117,6571.991176315882,11799.969084537213,1043.870206626914,36.60236352940941
1.5,on_demand_2k,0.005,6,6.278666666666667,14170.08670014437,14123.770082842437,10397.071642805447,17999.9615521518,2271.028173563268,56.046706677946176
1.5,bi_weekly,0.0033333333333333335,15,14.378333333333334,13231.035884196113,13124.138425994748,9459.273470704142,16681.80223091646,926.3475505779219,52.07991438886805
1.5,monthly,0.005666666666666667,9,8.652666666666667,13897.095414539246,13807.929698093725,9756.019448139392,17706.636884257234,1551.5282861243047,54.793371817832245
2.0,on_demand_2k,0.18,8,7.4943333333333335,17708.668841953622,17369.48194971719,12070.568259348529,22701.574115925785,2360.325319098417,68.9265156734809
2.0,bi_weekly,0.17433333333333334,14,13.255666666666666,16367.393901886222,16295.241158258403,10650.403393610413,21942.755055821184,1238.2484880921922,64.6636553899143
2.0,monthly,0.19466666666666665,9,7.8373333333333335,17067.35297828512,16841.54060886468,10689.273635244495,22727.842455574857,2099.193064530429,66.83151035263762
2.5,on_demand_2k,0.467,8,7.61,18887.044404530454,18364.34413124988,8947.578730779816,26930.33035350685,2454.1796743405607,72.8743814732138
2.5,bi_weekly,0.46066666666666667,13,11.202666666666667,17475.648857091837,17493.904385573125,8810.922294510241,25312.746406825798,1567.0472799989684,69.42025549830605
2.5,monthly,0.473,8,6.469,17697.88824865767,17776.434501004394,8344.217190768028,26365.568459820923,2680.777290418753,70.54140675001744
3.0,on_demand_2k,0.6353333333333333,7,7.7156666666666665,18268.671717452016,19346.404097408966,7681.410880551299,29728.065052816633,2540.392661166913,76.77144483098796
3.0,bi_weekly,0.6013333333333334,10,9.897,17751.702751944715,18679.39599459038,7026.398935202593,28584.13045069593,1890.4745405262815,74.12458728012056
3.0,monthly,0.6543333333333333,6,5.5456666666666665,17480.461259941767,18522.722911287354,6466.34768862796,28736.265505808788,3290.970295583959,73.50286869558474
4.0,on_demand_2k,0.885,5,6.700666666666667,13788.525497276241,18075.020792832936,4859.985191269559,28002.04064326845,2718.0353447989824,71.72627298743228
4.0,bi_weekly,0.868,5,6.817666666666667,13728.749205666267,17702.83479700389,4485.845636861897,27543.698964293573,2616.8327126090176,70.24934443255512
4.0,monthly,0.889,3,3.5343333333333335,11332.250087447552,16249.633279793228,1459.2716395047828,25544.748379913646,4545.474514591832,64.48267174521122
