slice,mnq,cadence,bust_rate,median_cash,mean_cash,mean_payouts,median_days_first_payout,mean_days_first_payout
FULL (2020-12 -> 2026-05),1,bi_weekly,0.0088,0.0,1056.8258226898186,0.2576,125,125.87731685789939
FULL (2020-12 -> 2026-05),1,monthly,0.011,0.0,4.073171459512139,0.0008,74,74.0
FULL (2020-12 -> 2026-05),1,on_demand,0.0004,5501.313736976459,5636.279409940128,3.042,50,67.2261955141769
FULL (2020-12 -> 2026-05),2,bi_weekly,0.2712,10203.961066329246,10494.883464322173,5.1746,27,38.1406150583245
FULL (2020-12 -> 2026-05),2,monthly,0.3542,7981.197538387123,8850.91836034705,1.4852,59,88.24880127863612
FULL (2020-12 -> 2026-05),2,on_demand,0.278,10138.430259463319,10232.85195030166,3.5788,32,49.44230343300111
FULL (2020-12 -> 2026-05),3,bi_weekly,0.7314,9838.981145628477,11662.45611687583,5.0704,13,22.90520231213873
FULL (2020-12 -> 2026-05),3,monthly,0.7796,9122.725682595252,11768.538071165201,2.4302,29,41.598404255319146
FULL (2020-12 -> 2026-05),3,on_demand,0.8016,7872.444285063332,10173.781989779374,2.5202,24,35.45617316942811
FULL (2020-12 -> 2026-05),4,bi_weekly,0.9362,7429.113298988405,10765.073653881715,3.6654,13,18.96807183836368
FULL (2020-12 -> 2026-05),4,monthly,0.9508,5713.8318968442245,10452.057959890437,1.7476,29,33.87371375116932
FULL (2020-12 -> 2026-05),4,on_demand,0.9636,4879.815252767241,8408.330229316081,1.6342,20,27.37694805194805
2025+ regime,1,bi_weekly,0.006,3288.0763606800792,4648.057600340517,0.9338,97,110.9954083306002
2025+ regime,1,monthly,0.0066,0.0,180.53458901721766,0.0182,119,129.66666666666666
2025+ regime,1,on_demand,0.0,10110.356966497993,10205.326914232532,5.3036,32,44.609751203852326
2025+ regime,2,bi_weekly,0.105,20805.659608413713,20576.407200784834,9.2464,13,24.82914979757085
2025+ regime,2,monthly,0.2064,21360.196797493354,20805.663400783465,3.8292,29,51.43374000841397
2025+ regime,2,on_demand,0.1746,19818.320826192874,19386.45800932746,6.4046,22,32.601358304177815
2025+ regime,3,bi_weekly,0.8016,13843.518222869734,17236.053925783774,5.9368,13,17.993386545039908
2025+ regime,3,monthly,0.832,14070.855399818985,18171.940844763056,2.9304,29,33.11402157164869
2025+ regime,3,on_demand,0.8638,11376.504793339709,15096.963764794058,3.5004,17,23.62131802296555
2025+ regime,4,bi_weekly,0.9858,7070.374349538026,11509.191103724786,2.8864,13,15.90981856990395
2025+ regime,4,monthly,0.988,5978.389230568564,11832.080012943683,1.324,29,30.232734806629836
2025+ regime,4,on_demand,0.9908,5646.188381197668,10017.428552287407,1.828,14,17.913526868437305
