account,mnq,type,pass_rate,median_days,p25,p75,fail_max_dd,fail_daily,fail_horizon
50000,0.5,1-step,0.8584,224,176,277,0.03954802259887006,0.0,0.96045197740113
50000,0.5,2-step,0.6706,270,225,313,0.0006071645415907711,0.0,0.9993928354584092
50000,1.0,1-step,0.8948,104,74,147,0.9809885931558935,0.0,0.019011406844106463
50000,1.0,2-step,0.9584,147,108,202,0.3942307692307692,0.0,0.6057692307692307
50000,2.0,1-step,0.63,36,26,51,0.6908108108108109,0.3091891891891892,0.0
50000,2.0,2-step,0.857,64,43,95,1.0,0.0,0.0
50000,3.0,1-step,0.4796,19,13,27,0.5480399692544197,0.45196003074558033,0.0
50000,3.0,2-step,0.6862,35,23,51,0.6411727214786488,0.35882727852135116,0.0
50000,4.0,1-step,0.4086,11,7,16,0.447074737910044,0.5529252620899561,0.0
50000,4.0,2-step,0.5778,22,15,33,0.6309805779251539,0.36901942207484606,0.0
50000,5.0,1-step,0.3786,8,5,11,0.41422594142259417,0.5857740585774058,0.0
50000,5.0,2-step,0.5224,16,11,23,0.52428810720268,0.47571189279731996,0.0
50000,6.0,1-step,0.367,6,4,9,0.43317535545023694,0.566824644549763,0.0
50000,6.0,2-step,0.458,12,8,17,0.43431734317343174,0.5656826568265683,0.0
50000,7.0,1-step,0.3556,5,3,7,0.3888888888888889,0.6111111111111112,0.0
50000,7.0,2-step,0.4298,9,6,13,0.4300245527884953,0.5699754472115047,0.0
50000,8.0,1-step,0.3622,4,3,6,0.4142364377547821,0.585763562245218,0.0
50000,8.0,2-step,0.4006,8,5,11,0.42108775442108776,0.5789122455789123,0.0
50000,9.0,1-step,0.3512,3,2,5,0.4155363748458693,0.5844636251541308,0.0
50000,9.0,2-step,0.39,6,5,9,0.4252459016393443,0.5747540983606557,0.0
50000,10.0,1-step,0.355,3,2,4,0.42077519379844963,0.5792248062015504,0.0
50000,10.0,2-step,0.3758,6,4,8,0.4299903876962512,0.5700096123037488,0.0
100000,0.5,1-step,0.1534,326,297,345,0.0,0.0,1.0
100000,0.5,2-step,0.0096,340,328,354,0.0,0.0,1.0
100000,1.0,1-step,0.8618,219,172,272,0.03473227206946455,0.0,0.9652677279305355
100000,1.0,2-step,0.654,272,225,316,0.0,0.0,1.0
100000,2.0,1-step,0.8966,105,75,145,0.9806576402321083,0.0,0.019342359767891684
100000,2.0,2-step,0.9542,148,108,203,0.39737991266375544,0.0,0.6026200873362445
100000,3.0,1-step,0.7022,57,40,81,0.6098052384150436,0.39019476158495636,0.0
100000,3.0,2-step,0.927,92,65,133,0.9835616438356164,0.0,0.01643835616438356
100000,4.0,1-step,0.6276,37,25,53,0.6933404940923737,0.3066595059076262,0.0
100000,4.0,2-step,0.8668,65,44,94,0.9984984984984985,0.0,0.0015015015015015015
100000,5.0,1-step,0.5422,25,17,36,0.6124945391000437,0.3875054608999563,0.0
100000,5.0,2-step,0.7464,45,30,66,0.6482649842271293,0.35173501577287064,0.0
100000,6.0,1-step,0.4708,18,12,26,0.544973544973545,0.455026455026455,0.0
100000,6.0,2-step,0.6958,35,23,51,0.663379355687048,0.336620644312952,0.0
100000,7.0,1-step,0.4456,15,10,21,0.4935064935064935,0.5064935064935064,0.0
100000,7.0,2-step,0.643,27,19,40,0.6470588235294118,0.35294117647058826,0.0
100000,8.0,1-step,0.407,11,8,16,0.4475548060708263,0.5524451939291737,0.0
100000,8.0,2-step,0.5934,22,15,34,0.6227250368912937,0.37727496310870634,0.0
100000,9.0,1-step,0.3894,9,6,13,0.417622011136587,0.5823779888634131,0.0
100000,9.0,2-step,0.5408,19,13,28,0.5657665505226481,0.43423344947735193,0.0
100000,10.0,1-step,0.3682,8,5,11,0.40899018676796456,0.5910098132320355,0.0
100000,10.0,2-step,0.5148,16,10,23,0.5507007419620775,0.44929925803792253,0.0
