month,trades,pnl,cum
2020-12,8,199.99781370381243,199.99781370381243
2021-01,14,5275.4024290110465,5475.400242714859
2021-02,18,-2083.385418069738,3392.014824645121
2021-03,13,8820.088155164667,12212.102979809788
2021-04,15,5916.876247021428,18128.979226831216
2021-05,14,-9321.454226643655,8807.525000187561
2021-06,13,-3398.206307959481,5409.31869222808
2021-07,20,3701.5167449156797,9110.83543714376
2021-08,21,-3699.762476472606,5411.072960671154
2021-09,18,6980.010585662894,12391.083546334048
2021-10,17,-3318.747944549359,9072.335601784689
2021-11,20,12012.335608225949,21084.671210010638
2021-12,16,5122.51421744877,26207.185427459408
2022-01,17,4905.040462259531,31112.22588971894
2022-02,14,-7569.598248739603,23542.627640979335
2022-03,15,1914.528899465222,25457.156540444557
2022-04,15,4246.497904764037,29703.654445208595
2022-05,13,8243.251353573432,37946.90579878203
2022-06,16,15291.534452600827,53238.44025138285
2022-07,15,1811.4644085214968,55049.90465990435
2022-08,15,1806.3686787667393,56856.27333867109
2022-09,18,6564.440486003914,63420.713824675004
2022-10,16,3482.3179395012994,66903.0317641763
2022-11,13,4252.152967328075,71155.18473150437
2022-12,11,9673.389793714996,80828.57452521936
2023-01,14,5838.5744842458735,86667.14900946524
2023-02,15,2233.1699185970137,88900.31892806225
2023-03,16,5193.687388350227,94094.00631641247
2023-04,19,-5039.751473832257,89054.25484258021
2023-05,25,4961.878272634567,94016.13311521478
2023-06,14,-2745.793857166718,91270.33925804806
2023-07,12,-630.6708327711385,90639.66842527692
2023-08,20,-4693.4907797914275,85946.1776454855
2023-09,15,7596.658212704424,93542.83585818992
2023-10,24,-1116.2010465115964,92426.63481167832
2023-11,13,-6555.192243673555,85871.44256800477
2023-12,7,-638.6982754040946,85232.74429260068
2024-01,16,2069.792249616876,87302.53654221755
2024-02,20,1199.8519431570458,88502.3884853746
2024-03,15,2627.907182579438,91130.29566795404
2024-04,16,-1898.6545568465226,89231.64111110751
2024-05,18,8493.95277354386,97725.59388465137
2024-06,13,-3975.9381565071817,93749.6557281442
2024-07,15,-1873.145561937563,91876.51016620663
2024-08,6,3769.4656046777527,95645.97577088438
2024-09,6,149.07613913652312,95795.0519100209
2024-10,9,-442.8538764444238,95352.19803357648
2024-11,6,-2310.89025399182,93041.30777958466
2024-12,16,914.1692373764818,93955.47701696114
2025-01,14,-1246.309137862554,92709.16787909859
2025-02,12,-1429.4616328406846,91279.7062462579
2025-03,14,11855.007606468935,103134.71385272684
2025-04,10,4661.62091664155,107796.33476936839
2025-05,8,5530.812134585067,113327.14690395346
2025-06,6,2464.406763017105,115791.55366697056
2025-07,10,-3645.3140214795712,112146.23964549099
2025-08,13,8433.646824928292,120579.88647041928
2025-09,8,-372.06378389739257,120207.82268652189
2025-10,17,10711.188669049006,130919.0113555709
2025-11,9,-1224.4839566916198,129694.52739887928
2025-12,7,-2692.637162765677,127001.8902361136
2026-01,13,1898.3223439387803,128900.21258005238
2026-02,13,-1139.8676701437944,127760.34490990858
2026-03,5,8373.594088340324,136133.9389982489
2026-04,5,1609.23767978682,137743.1766780357
