entry_ts,exit_ts,side,entry_price,exit_price,pnl_pts,pnl_dollars,reason,gsign,year,hour,regime,in_is
2020-12-09 10:00:00-05:00,2020-12-09 10:20:00-05:00,LONG,12637.0,12599.16345993915,-37.83654006085089,-756.7308012170179,stop,-1,2020,10,NEG,True
2020-12-09 11:00:00-05:00,2020-12-09 12:00:00-05:00,SHORT,12615.25,12565.500226489181,49.74977351081907,994.9954702163814,target,-1,2020,11,NEG,True
2020-12-09 14:20:00-05:00,2020-12-09 15:00:00-05:00,SHORT,12375.75,12374.75,1.0,20.0,force_close,-1,2020,14,NEG,True
2020-12-16 10:00:00-05:00,2020-12-16 11:40:00-05:00,LONG,12602.5,12645.963147584655,43.46314758465451,869.2629516930901,target,-1,2020,10,NEG,True
2020-12-18 11:40:00-05:00,2020-12-18 15:00:00-05:00,SHORT,12690.0,12660.75,29.25,585.0,force_close,0,2020,11,ZERO,True
2020-12-22 10:00:00-05:00,2020-12-22 10:20:00-05:00,LONG,12748.5,12695.123509650568,-53.37649034943206,-1067.5298069886412,stop,1,2020,10,POS,True
2020-12-30 11:00:00-05:00,2020-12-30 15:00:00-05:00,SHORT,12852.75,12849.0,3.75,75.0,force_close,-1,2020,11,NEG,True
2020-12-31 12:20:00-05:00,2020-12-31 15:00:00-05:00,SHORT,12816.25,12842.25,-26.0,-520.0,force_close,0,2020,12,ZERO,True
2021-01-04 13:00:00-05:00,2021-01-04 15:00:00-05:00,SHORT,12596.25,12665.0,-68.75,-1375.0,force_close,0,2021,13,ZERO,True
2021-01-05 09:40:00-05:00,2021-01-05 14:40:00-05:00,SHORT,12723.0,12792.862034084688,-69.86203408468828,-1397.2406816937655,stop,0,2021,9,ZERO,True
2021-01-07 09:40:00-05:00,2021-01-07 10:20:00-05:00,LONG,12795.75,12863.220929317824,67.4709293178239,1349.418586356478,target,-1,2021,9,NEG,True
2021-01-12 09:40:00-05:00,2021-01-12 10:00:00-05:00,SHORT,12933.0,12880.555505430068,52.44449456993243,1048.8898913986486,target,0,2021,9,ZERO,True
2021-01-12 11:20:00-05:00,2021-01-12 12:20:00-05:00,SHORT,12917.5,12846.913929608285,70.58607039171511,1411.7214078343022,target,0,2021,11,ZERO,True
2021-01-12 12:40:00-05:00,2021-01-12 14:20:00-05:00,SHORT,12826.5,12911.667697221412,-85.1676972214118,-1703.353944428236,stop,0,2021,12,ZERO,True
2021-01-13 10:00:00-05:00,2021-01-13 11:20:00-05:00,LONG,12913.0,12977.328924696409,64.32892469640865,1286.578493928173,target,-1,2021,10,NEG,True
2021-01-14 13:00:00-05:00,2021-01-14 15:00:00-05:00,LONG,12980.5,12949.0,-31.5,-630.0,force_close,-1,2021,13,NEG,True
