cost,chal_mnq,funded_mnq,mean_cash,median_cash,p25,p75,mean_cycles,cash_per_year,cash_per_cal_day
250,2,2,2442.960778195865,2040.1956157626846,1376.8861372544889,3849.9627605988535,1.347,1221.4803890979324,4.8471444011822715
250,2,3,2557.9199189291076,2151.3262058175023,1398.1413780900439,4063.1811178613243,1.3016666666666667,1278.9599594645538,5.07523793438315
250,2,4,2739.425018128331,2325.3189527476497,1370.3564586608954,4360.444344672789,1.2926666666666666,1369.7125090641655,5.435367099460974
460,2,2,1785.7657167924583,1501.536192264568,743.3263110492007,3160.4809546242614,1.323,892.8828583962292,3.5431859460167825
460,2,3,2052.3793005307302,1823.9856096392978,780.6994977046197,3467.8679537142016,1.363,1026.1896502653651,4.072181151846687
460,2,4,2062.0487984786173,1758.4981682400976,674.4012001454066,3640.5216274171617,1.2826666666666666,1031.0243992393087,4.09136666364805
250,3,2,3664.8112314913196,3526.6485909704716,1622.5240280004,5472.15245411298,2.073,1832.4056157456598,7.271450856133571
250,3,3,4130.717618805123,3936.9631854943145,1856.2939058848206,6008.0217342153155,2.1296666666666666,2065.3588094025613,8.195868291280005
250,3,4,4470.958951444932,4325.249115656239,2252.3388577909645,6429.95700760898,2.123666666666667,2235.479475722466,8.870950300485976
460,3,2,2592.2035385330964,2578.8983410244327,796.8329894574745,4324.317097985106,2.0636666666666668,1296.1017692665482,5.143260989152969
460,3,3,2997.499789968888,2943.897398216126,1012.6963053127402,4815.084051304271,2.1226666666666665,1498.749894984444,5.947420218192238
460,3,4,3178.5460801928616,3009.8083399044626,1045.922615548312,5140.685499992014,2.0793333333333335,1589.2730400964308,6.30663904800171
