label,qual,trades,pf,wr,pnl,mdd,mar,max_qty,avg_qty
BASELINE,-,814,1.3118844852644858,55.896805896805894,153548.50483236928,-16957.35503886288,9.05497965221974,1,1.0
streak=1 mult=1.5 maxd=1,any_loss,814,1.2867179064548968,55.896805896805894,204809.71215281886,-40376.703550778824,5.072472345228596,2,1.441031941031941
streak=1 mult=1.5 maxd=2,any_loss,814,1.2867179064548968,55.896805896805894,204809.71215281886,-40376.703550778824,5.072472345228596,2,1.441031941031941
streak=1 mult=1.5 maxd=3,any_loss,814,1.2854938513812486,55.896805896805894,216353.47087583976,-43092.247459844366,5.020705199408533,3,1.538083538083538
streak=1 mult=1.5 maxd=4,any_loss,814,1.2889568731367866,55.896805896805894,229632.182961835,-48987.82849265088,4.687535455797643,5,1.628992628992629
streak=1 mult=2.0 maxd=1,any_loss,814,1.2867179064548968,55.896805896805894,204809.71215281886,-40376.703550778824,5.072472345228596,2,1.441031941031941
streak=1 mult=2.0 maxd=2,any_loss,814,1.2548473047593995,55.896805896805894,236159.5540369159,-62935.83397516969,3.752386186382925,4,1.848894348894349
streak=1 mult=2.0 maxd=3,any_loss,814,1.256514162851218,55.896805896805894,282334.5889289996,-95113.27476284161,2.9684036180331446,8,2.237100737100737
streak=1 mult=2.0 maxd=4,any_loss,814,1.2687581608072316,55.896805896805894,335449.43727298046,-140998.21244446954,2.3791041847788903,16,2.6007371007371005
streak=1 mult=2.5 maxd=1,any_loss,814,1.2867179064548968,55.896805896805894,204809.71215281886,-40376.703550778824,5.072472345228596,2,1.441031941031941
streak=1 mult=2.5 maxd=2,any_loss,814,1.2348599247397247,55.896805896805894,267509.39592101297,-91035.94383298585,2.938503020430969,6,2.2567567567567566
streak=1 mult=2.5 maxd=3,any_loss,814,1.24329742780428,55.896805896805894,382946.98315122206,-181608.95368461782,2.108634928959769,16,3.227272727272727
streak=2 mult=1.5 maxd=1,any_loss,814,1.2827468919135163,55.896805896805894,169223.42577441776,-27330.541785609494,6.191733303418081,2,1.203931203931204
streak=2 mult=1.5 maxd=2,any_loss,814,1.2827468919135163,55.896805896805894,169223.42577441776,-27330.541785609494,6.191733303418081,2,1.203931203931204
streak=2 mult=1.5 maxd=3,any_loss,814,1.285059398173285,55.896805896805894,175862.78181741538,-33066.158995812984,5.318512556589475,3,1.2493857493857494
streak=2 mult=1.5 maxd=4,any_loss,814,1.2942985425664904,55.896805896805894,185225.52798570856,-31408.312036926247,5.897341053156307,5,1.2862407862407863
streak=2 mult=2.0 maxd=1,any_loss,814,1.2827468919135163,55.896805896805894,169223.42577441776,-27330.541785609494,6.191733303418081,2,1.203931203931204
streak=2 mult=2.0 maxd=2,any_loss,814,1.2805444201152254,55.896805896805894,192310.9432204596,-46395.527630316756,4.145031925335744,4,1.398034398034398
streak=2 mult=2.0 maxd=3,any_loss,814,1.288274658034738,55.896805896805894,218868.36739245002,-69337.99647113073,3.156542999963622,8,1.5798525798525798
streak=2 mult=2.0 maxd=4,any_loss,814,1.316827325252352,55.896805896805894,256319.3520656227,-75772.05439455056,3.3827689392048064,16,1.7272727272727273
streak=2 mult=2.5 maxd=1,any_loss,814,1.2827468919135163,55.896805896805894,169223.42577441776,-27330.541785609494,6.191733303418081,2,1.203931203931204
streak=2 mult=2.5 maxd=2,any_loss,814,1.2788380140549491,55.896805896805894,215398.46066650143,-65460.51347502402,3.290509793338012,6,1.5921375921375922
streak=2 mult=2.5 maxd=3,any_loss,814,1.2945012304127383,55.896805896805894,281792.0210964775,-122816.68557705893,2.29441154328882,16,2.0466830466830466
streak=3 mult=1.5 maxd=1,any_loss,814,1.3081103083214158,55.896805896805894,165092.26355539015,-23969.637891603925,6.887557680344375,2,1.097051597051597
streak=3 mult=1.5 maxd=2,any_loss,814,1.3081103083214158,55.896805896805894,165092.26355539015,-23969.637891603925,6.887557680344375,2,1.097051597051597
streak=3 mult=1.5 maxd=3,any_loss,814,1.313209554825923,55.896805896805894,169773.63663953677,-21947.13398134023,7.735572069860273,3,1.1154791154791155
streak=3 mult=1.5 maxd=4,any_loss,814,1.3181113166488394,55.896805896805894,173693.9815115636,-23968.635085479444,7.246719760725549,5,1.1277641277641277
streak=3 mult=2.0 maxd=1,any_loss,814,1.3081103083214158,55.896805896805894,165092.26355539015,-23969.637891603925,6.887557680344375,2,1.097051597051597
streak=3 mult=2.0 maxd=2,any_loss,814,1.3114596236695784,55.896805896805894,178370.97564138536,-34453.77511176994,5.177109767006376,4,1.1879606879606879
streak=3 mult=2.0 maxd=3,any_loss,814,1.329821366780589,55.896805896805894,197096.4679779717,-37414.27258286682,5.267948682990791,8,1.2616707616707616
streak=3 mult=2.0 maxd=4,any_loss,814,1.3468423319375027,55.896805896805894,212777.84746607905,-52740.15767940582,4.034456035560268,16,1.3108108108108107
streak=3 mult=2.5 maxd=1,any_loss,814,1.3081103083214158,55.896805896805894,165092.26355539015,-23969.637891603925,6.887557680344375,2,1.097051597051597
streak=3 mult=2.5 maxd=2,any_loss,814,1.3144037479007022,55.896805896805894,191649.68772738057,-45925.00953217692,4.1731006630080945,6,1.278869778869779
streak=3 mult=2.5 maxd=3,any_loss,814,1.3549645880327417,55.896805896805894,238463.41856884642,-65875.14041288936,3.6199303268913843,16,1.4631449631449631
streak=1 mult=1.5 maxd=1,fc_only,814,1.2889684270482307,55.896805896805894,162950.22525590705,-22340.405658833522,7.293968952236801,2,1.1375921375921376
streak=1 mult=1.5 maxd=2,fc_only,814,1.2889684270482307,55.896805896805894,162950.22525590705,-22340.405658833522,7.293968952236801,2,1.1375921375921376
streak=1 mult=1.5 maxd=3,fc_only,814,1.2937593564411998,55.896805896805894,165651.84574692068,-21285.405658833522,7.7824143172096205,3,1.1400491400491402
streak=1 mult=1.5 maxd=4,fc_only,814,1.2937593564411998,55.896805896805894,165651.84574692068,-21285.405658833522,7.7824143172096205,3,1.1400491400491402
streak=1 mult=2.0 maxd=1,fc_only,814,1.2889684270482307,55.896805896805894,162950.22525590705,-22340.405658833522,7.293968952236801,2,1.1375921375921376
streak=1 mult=2.0 maxd=2,fc_only,814,1.2774460416744247,55.896805896805894,161637.5364590232,-24862.300407976916,6.501310570890004,4,1.1670761670761671
streak=1 mult=2.0 maxd=3,fc_only,814,1.295995047747114,55.896805896805894,172444.01842307777,-20642.300407976916,8.353914777659146,8,1.1769041769041768
streak=1 mult=2.0 maxd=4,fc_only,814,1.295995047747114,55.896805896805894,172444.01842307777,-20642.300407976916,8.353914777659146,8,1.1769041769041768
streak=1 mult=2.5 maxd=1,fc_only,814,1.2889684270482307,55.896805896805894,162950.22525590705,-22340.405658833522,7.293968952236801,2,1.1375921375921376
streak=1 mult=2.5 maxd=2,fc_only,814,1.2666398853562122,55.896805896805894,160324.8476621394,-27384.19515712031,5.854648885689542,6,1.1965601965601966
