bm,norm,zlook,ema,hz,sl,tp,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd,robust_pf
20,225,75,40,1.95,3.0,0.75,1258,1.23499921842407,74.88076311605724,107903.96726182301,-18847.219812786097,405,1.253770620972466,75.30864197530865,49442.53585341103,-20074.40327053162,1663,1.240591371753316,74.98496692723992,157346.50311523405,-20074.403270531606,1.23499921842407
20,225,75,40,1.9,3.0,0.75,1288,1.234797645548491,74.76708074534162,109919.92031672769,-18222.47537288069,413,1.250690824519673,75.30266343825666,49722.49934140658,-19647.110017540545,1701,1.2395273287852486,74.89711934156378,159642.41965813428,-19647.110017540588,1.234797645548491
20,225,75,40,1.85,3.0,0.75,1304,1.2315527183918646,74.76993865030674,109703.78616670638,-17667.17373831423,421,1.2657756460451666,75.53444180522565,53065.00878994586,-19222.114239097864,1725,1.241699170965075,74.95652173913044,162768.79495665221,-19222.11423909788,1.2315527183918646
20,225,75,40,1.8,3.0,0.75,1329,1.2266069174658285,74.86832204665161,109943.34335280236,-17048.961234496746,429,1.2971859829460741,75.75757575757575,59450.842013165384,-19222.114239097864,1758,1.2472121181707663,75.08532423208192,169394.18536596774,-19222.11423909785,1.2266069174658285
20,225,75,40,2.0,3.0,0.75,1241,1.2215742611932596,74.85898468976632,101511.41854480343,-18037.219812786097,398,1.2503060646151152,75.62814070351759,48717.469585694635,-18054.40327053162,1639,1.2301410256924346,75.045759609518,150228.88813049806,-18054.40327053162,1.2215742611932596
20,225,75,40,1.85,3.0,1.0,1237,1.2246936178290107,70.33144704931286,121368.77024975583,-18150.299488266828,403,1.221114203009818,70.96774193548387,53025.375873445955,-19807.610356189543,1640,1.2235930784166225,70.48780487804878,174394.1461232018,-20074.90272733303,1.221114203009818
20,225,100,40,2.0,3.0,0.75,1138,1.2140275308339112,76.01054481546574,91590.9745303163,-15576.179728313364,384,1.2577868559256788,76.5625,48279.61887413578,-19810.911515693733,1522,1.2273486150546498,76.14980289093299,139870.59340445208,-19810.911515693733,1.2140275308339112
20,225,75,40,2.0,2.5,1.0,1205,1.2097392040990924,68.79668049792531,110057.984558797,-16694.19768053478,388,1.239353194239242,69.84536082474227,55309.28316654863,-19635.577110972226,1593,1.218793193594486,69.05210295040804,165367.26772534562,-21467.64462330997,1.2097392040990924
20,225,100,40,2.0,3.0,1.0,1078,1.2089655519399534,71.61410018552876,102425.76018310396,-20586.51267525529,367,1.2234757654552353,72.20708446866485,50358.92696813142,-20198.905698809758,1445,1.2135354874211295,71.76470588235294,152784.68715123538,-20586.51267525529,1.2089655519399534
20,250,75,40,1.8,3.0,0.75,1346,1.209289621200793,74.962852897474,104469.09403586728,-17548.882528637732,424,1.2089098352684295,74.52830188679245,43849.088187158704,-20514.156978734536,1770,1.209177196821385,74.85875706214689,148318.18222302597,-20514.156978734536,1.2089098352684295
