bm,norm,zlook,ema,hz,sl,tp,variant,of_p1,of_p2,gamma,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,275,100,80,1.45,2.5,0.75,baseline,0,0,none,1722,1.2120523038387596,74.79674796747967,121870.37768888057,-19134.156843851524,560,1.2126048913826293,75.0,52330.44441955353,-19762.189684191326,2282,1.2122180006995225,74.84662576687117,174200.8221084341,-19762.18968419131
15,275,100,80,1.45,2.5,0.75,gamma_only,0,0,drop_neg,392,1.3521585951775923,74.74489795918367,37547.56526918074,-8711.482187993242,140,1.902530388963114,77.85714285714286,28315.206224458598,-6024.467228576905,532,1.4772861250112124,75.56390977443608,65862.77149363933,-8711.482187993242
15,275,100,80,1.45,2.5,0.75,gamma_only,0,0,drop_pos,1464,1.234396854068061,75.27322404371584,115551.49892410915,-19134.156843851524,438,1.1390582517201617,73.97260273972603,30025.5466126799,-17709.209858511822,1902,1.2053578717667122,74.97371188222924,145577.04553678905,-19134.156843851524
15,275,100,80,1.45,2.5,0.75,window_N3_D100,3,100,none,969,1.213232812140786,74.20020639834881,70767.0833921034,-24760.962772029525,198,1.3076256788968306,75.25252525252525,26457.236328233557,-9974.503599021991,1167,1.2326598993785964,74.37874892887746,97224.31972033696,-24760.962772029525
15,275,100,80,1.45,2.5,0.75,window_N3_D100,3,100,drop_pos,837,1.255538697856636,74.79091995221027,73150.26689554063,-18181.69471987727,157,1.2477762627658722,75.1592356687898,18728.207912555154,-6872.659001120846,994,1.2539172130970013,74.84909456740442,91878.47480809578,-18181.69471987727
15,275,100,80,1.45,2.5,0.75,window_N5_D100,5,100,none,1201,1.2043704810217943,74.10491257285595,85280.88747346407,-24729.38908455595,308,1.1880630125717646,73.37662337662337,26997.92062228975,-13468.976872553903,1509,1.2001962957813685,73.95626242544732,112278.8080957538,-24729.38908455595
15,275,100,80,1.45,2.5,0.75,window_N5_D100,5,100,drop_pos,1034,1.2274756722847986,74.75822050290135,82118.86791451313,-20208.13195115901,245,1.1843199910971782,73.87755102040816,22333.49843961143,-14256.26558245298,1279,1.216630805415233,74.58952306489445,104452.36635412456,-20208.13195115901
15,275,100,80,1.45,2.5,0.75,window_N8_D100,8,100,none,1347,1.240266592004994,74.98144023756495,109733.89469777324,-20372.425867407146,353,1.2607443001491605,73.93767705382436,42848.05865633891,-15540.56513733638,1700,1.2456850184145083,74.76470588235294,152581.95335411216,-20372.425867407146
15,275,100,80,1.45,2.5,0.75,window_N8_D100,8,100,drop_pos,1156,1.2612085571017313,75.51903114186851,103024.59195060561,-17908.294218664087,279,1.2712878691893408,74.55197132616487,37226.713647226716,-13313.904433293865,1435,1.2638101528219037,75.33101045296168,140251.3055978323,-17908.294218664087
15,275,100,80,1.45,2.5,0.75,window_N10_D100,10,100,none,1378,1.2594874110056835,75.18142235123368,119416.76709402079,-18679.11517378437,370,1.2716984281720842,74.86486486486487,46090.37298077979,-14586.39366786294,1748,1.262776263051041,75.11441647597255,165507.14007480058,-18679.11517378437
