bm,norm,zlook,ema,hz,sl,tp,variant,of_p1,of_p2,gamma,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,100,100,80,2.0,2.0,2.0,baseline,0,0,none,1218,1.0757150093004557,52.62725779967159,52172.89396718392,-31177.091583783258,428,1.3130724766222002,55.14018691588785,89307.05424889093,-35080.65183917897,1646,1.145207516443678,53.28068043742406,141479.94821607484,-35080.651839179
15,100,100,80,2.0,2.0,2.0,gamma_only,0,0,drop_pos,1040,1.0950331822828085,53.26923076923077,56865.375661001126,-27424.687965007615,336,1.2352879025105405,52.67857142857143,58314.01943224126,-39065.44101485364,1376,1.1361112618965776,53.125,115179.39509324238,-39065.441014853626
15,100,100,80,2.0,2.0,2.0,window_N3_D100,3,100,none,699,1.0521430474180558,52.21745350500715,21040.843559649365,-31693.14168551471,150,1.3968153493754742,56.0,41837.0145885495,-13519.79629376132,849,1.1235434239733835,52.88574793875147,62877.858148198866,-31693.14168551471
15,100,100,80,2.0,2.0,2.0,window_N3_D100,3,100,drop_pos,604,1.0391937582916282,52.152317880794705,14067.977102899604,-36018.73569813364,118,1.2860412142717084,53.389830508474574,26749.908790447153,-18764.910563004596,722,1.0902148838814514,52.35457063711911,40817.885893346756,-36018.73569813364
15,100,100,80,2.0,2.0,2.0,window_N5_D100,5,100,none,851,1.0528294031153944,52.17391304347826,26566.55128991886,-38951.18714313969,233,1.2935900030886893,54.506437768240346,48847.37735069299,-18520.837416846844,1084,1.1126835836195812,52.67527675276753,75413.92864061185,-42388.497597853566
15,100,100,80,2.0,2.0,2.0,window_N5_D100,5,100,drop_pos,732,1.0466526689908315,52.322404371584696,20709.265576122743,-34915.81421564377,187,1.2295228329238552,52.406417112299465,33402.456081961136,-17662.178960606034,919,1.0918029883934728,52.33949945593036,54111.72165808388,-39423.44072214444
15,100,100,80,2.0,2.0,2.0,window_N8_D100,8,100,none,950,1.0380610252969078,52.421052631578945,21645.731498653804,-43877.10672291345,272,1.390903623209789,55.88235294117647,75751.36394972345,-17289.9903502089,1222,1.1277344865442829,53.191489361702125,97397.09544837725,-43877.10672291345
15,100,100,80,2.0,2.0,2.0,window_N8_D100,8,100,drop_pos,816,1.0415608278869692,52.818627450980394,20752.669514280824,-41963.95362003834,218,1.3350839589181207,54.12844036697248,57023.60062991087,-14843.356911090887,1034,1.1161690329881875,53.09477756286267,77776.27014419169,-41963.95362003834
15,100,100,80,2.0,2.0,2.0,window_N10_D100,10,100,none,966,1.0539640601157716,52.5879917184265,30908.888639797624,-40036.133289698846,285,1.3616740870309967,56.49122807017544,73620.58041297714,-18916.36813493009,1251,1.1346468674695653,53.47721822541966,104529.46905277477,-40036.133289698846
15,100,100,80,2.0,2.0,2.0,window_N10_D100,10,100,drop_pos,832,1.0597046828386336,53.00480769230769,30057.791781871565,-39030.986984509946,226,1.3185905650355927,55.309734513274336,56214.88321554367,-15960.626565504426,1058,1.126892147641563,53.497164461247635,86272.67499741523,-39030.986984509946
15,100,100,80,2.0,2.0,2.0,multi_pd25_K2,25,2,none,1050,1.081419271391342,52.857142857142854,49117.81809577664,-36811.094300400684,326,1.3775757592422215,56.13496932515337,85053.21079429712,-19788.67784798429,1376,1.1619383584727399,53.633720930232556,134171.02889007377,-36811.094300400684
15,100,100,80,2.0,2.0,2.0,multi_pd25_K2,25,2,drop_pos,895,1.0947362854130709,53.40782122905028,49678.67506378105,-35371.26879791793,256,1.3429550862817037,55.078125,66194.60759079579,-17743.356911090887,1151,1.1615180234966433,53.779322328410075,115873.28265457683,-35371.26879791793
15,100,100,80,2.0,2.0,2.0,multi_pd25_K3,25,3,none,1002,1.0730389533029812,52.69461077844311,42402.85174349083,-36949.04096365557,298,1.404242862423304,55.033557046979865,83339.673311644,-19788.67784798429,1300,1.1598326604727105,53.23076923076923,125742.52505513483,-36949.04096365557
