n_accounts,mnq,p_pass_1,p_pass_2,p_pass_3,mean_n_passed,mean_first_pass_day,cost_horizon_deal,cost_horizon_reg
1,1,0.595,0.0,0.0,0.595,64.9905,99,159
1,2,0.4555,0.0,0.0,0.4555,58.984,99,159
1,3,0.2935,0.0,0.0,0.2935,67.2225,99,159
1,4,0.2215,0.0,0.0,0.2215,72.0515,99,159
1,5,0.17,0.0,0.0,0.17,75.927,99,159
2,1,0.493,0.0795,0.0,0.5725,75.385,198,318
2,2,0.705,0.215,0.0,0.92,50.8765,198,318
2,3,0.5755,0.105,0.0,0.6805,51.034,198,318
2,4,0.457,0.0705,0.0,0.5275,56.378,198,318
2,5,0.357,0.041,0.0,0.398,62.5655,198,318
3,1,0.326,0.0405,0.0015,0.368,82.52,297,477
3,2,0.78,0.329,0.0595,1.1685,52.9195,297,477
3,3,0.735,0.279,0.039,1.053,45.7105,297,477
3,4,0.5985,0.1705,0.0155,0.7845,49.2155,297,477
3,5,0.505,0.1155,0.011,0.6315,53.569,297,477
5,1,0.1225,0.0045,0.0,0.127,87.5895,495,795
5,2,0.7565,0.3575,0.098,1.225,60.028,495,795
5,3,0.848,0.514,0.186,1.592,45.3905,495,795
5,4,0.788,0.4075,0.118,1.342,43.1105,495,795
5,5,0.6795,0.304,0.0795,1.0735,45.9475,495,795
7,1,0.0525,0.0005,0.0,0.053,89.2165,693,1113
7,2,0.6795,0.2995,0.084,1.0795,67.231,693,1113
7,3,0.872,0.546,0.234,1.7385,49.1795,693,1113
7,4,0.873,0.541,0.2345,1.733,42.044,693,1113
7,5,0.7995,0.4605,0.182,1.497,42.6645,693,1113
10,1,0.0085,0.0,0.0,0.0085,89.8805,990,1590
10,2,0.5205,0.149,0.03,0.7045,75.5515,990,1590
10,3,0.844,0.5195,0.2195,1.6705,55.5695,990,1590
10,4,0.8805,0.604,0.309,1.946,47.1995,990,1590
10,5,0.873,0.5815,0.278,1.8485,43.3275,990,1590
