NORM,ZLOOK,is_n,oos_n,is_grosswin,is_netEV,oos_netEV,is_netwin
100,200,2457,1560,0.5111925111925112,2.321970020049971,-2.347187295802462,0.5079365079365079
150,150,2623,1644,0.5078154784597789,0.6462613542840849,2.0663287685420912,0.5047655356462066
150,200,2464,1546,0.5097402597402597,-0.5216710390823401,-23.545531724235328,0.5060876623376623
400,200,2372,1464,0.49831365935919053,-12.135216069505057,-8.364648346332897,0.49536256323777406
200,150,2605,1623,0.5021113243761997,-15.643007402378517,-20.141331064729552,0.4990403071017274
100,150,2585,1622,0.5025145067698259,-15.763182982235778,8.10319478811159,0.5001934235976789
600,200,2404,1480,0.4987520798668885,-17.26579398981894,5.152332389890383,0.49584026622296173
200,200,2480,1543,0.5044354838709677,-17.68518757443466,-3.6580413618925687,0.5008064516129033
200,100,2721,1735,0.49908122013965456,-19.876267854586942,-4.489517098037161,0.4968761484748254
300,75,2867,1812,0.500174398325776,-23.40828353730309,-22.624252986212557,0.49703522846180676
200,75,2835,1782,0.49876543209876545,-24.926849762635108,1.641681905913077,0.4962962962962963
150,75,2830,1770,0.4971731448763251,-25.434560723525106,-12.93473505260585,0.4939929328621908
600,75,2840,1783,0.49753521126760564,-25.74357187807062,1.8086106763636274,0.4943661971830986
150,100,2703,1721,0.4961154273029967,-26.72966850249008,-3.079173921165768,0.4938956714761376
300,150,2597,1601,0.49826723142087026,-27.18479733467899,-14.159346121456098,0.49595687331536387
100,75,2818,1784,0.49680624556423,-28.22391617059197,-5.036557502276666,0.49467707594038324
100,50,2979,1874,0.4981537428667338,-28.31695292457673,-17.3493240832552,0.49580396106075864
400,75,2842,1776,0.4978888106966925,-28.53193885037864,-16.646341199696863,0.494018296973962
600,50,3005,1886,0.49916805324459235,-28.680978736432504,-11.414475101810684,0.49550748752079865
600,150,2604,1583,0.49539170506912444,-29.145399842102336,-15.321849430568436,0.4915514592933948
600,100,2735,1717,0.4943327239488117,-29.271376918158794,-0.6551898494539624,0.49140767824497256
400,150,2550,1585,0.4964705882352941,-29.49594567966855,8.569126893057838,0.49333333333333335
150,50,2981,1873,0.5011741026501174,-29.562842381520547,-17.4393751315892,0.4974840657497484
300,100,2742,1741,0.49452954048140046,-30.548245302542455,-8.164815293657506,0.4919766593727206
300,200,2436,1494,0.4963054187192118,-31.141347351530328,-6.5312565588274225,0.493431855500821
200,50,2980,1878,0.5006711409395973,-31.24660961221802,-19.846180641568512,0.4969798657718121
300,50,3018,1887,0.49801192842942343,-32.10296252390075,-17.428775595904323,0.4943671305500331
900,50,3023,1899,0.4988422097254383,-32.92621844165028,-20.2910351384128,0.49586503473370824
400,50,2999,1877,0.49549849949983327,-37.085041952977974,-15.838749379799703,0.4914971657219073
400,100,2707,1711,0.4898411525674178,-37.15430118958496,-4.319147636383174,0.4872552641300332
100,100,2743,1728,0.4903390448414145,-37.24525456402745,5.118806508365708,0.4885162231133795
900,75,2891,1801,0.49290902801798686,-38.924126145319,-10.559812027713239,0.49014181943964025
900,200,2498,1528,0.49279423538831063,-47.01819378361914,-2.713908483964373,0.488791032826261
900,150,2667,1621,0.4904386951631046,-47.44308912200929,-16.87037487198206,0.48668916385451816
900,100,2795,1736,0.4865831842576029,-56.52627705204807,-17.464569024012228,0.48372093023255813
