stop_mult,tp_mult,contract_type,num_contracts,challenge_pass_rate,challenge_avg_days,challenge_blowup_rate,funded_avg_payouts,funded_days_per_payout,funded_blowup_rate,funded_net_lifetime
0.5,3.0,MNQ,1,99.83999999999999,120.7822516025641,0.16,11.4366,124.7956035884791,0.04,32309.800000000003
0.5,3.0,MNQ,2,96.38,58.727744345299854,3.62,20.6264,62.88675677772176,19.1,59879.200000000004
0.5,3.0,MNQ,3,88.08,36.748410535876474,11.92,16.7194,41.842099596875485,78.9,48158.200000000004
0.5,3.0,MNQ,4,78.25999999999999,24.605162279580885,21.740000000000002,8.642,30.844711872251793,99.03999999999999,23926.0
0.5,3.0,MNQ,5,70.98,17.59791490560721,29.020000000000003,5.0396,23.814072545440116,100.0,13118.800000000001
0.5,3.0,MNQ,6,65.38000000000001,13.464362190272254,34.62,3.3624,19.165774446823697,100.0,8087.200000000001
0.5,3.0,MNQ,7,62.019999999999996,10.801999355046759,37.980000000000004,2.4574,15.711483681940262,100.0,5372.2
0.5,3.0,MNQ,8,58.32000000000001,8.864883401920439,41.68,1.929,12.92731985484707,100.0,3787.0
0.5,3.0,MNQ,9,53.779999999999994,7.56638155448122,46.22,1.601,11.22361024359775,100.0,2803.0
0.5,2.9,MNQ,1,99.94,122.88673203922353,0.06,11.1268,128.23368803249812,0.06,31380.4
0.5,2.9,MNQ,2,96.32,60.783222591362126,3.6799999999999997,20.347,64.1880866958274,17.740000000000002,59041.00000000001
0.5,2.9,MNQ,3,88.0,37.91772727272727,12.0,17.1016,42.88047901950695,76.32,49304.8
0.5,2.9,MNQ,4,78.32000000000001,25.59959141981614,21.68,9.0112,31.799915660511363,98.74000000000001,25033.600000000002
0.5,2.9,MNQ,5,71.64,18.128699050809605,28.360000000000003,5.1968,24.37272937192118,100.0,13590.4
0.5,2.9,MNQ,6,67.47999999999999,14.19768820391227,32.519999999999996,3.4586,19.597582836986064,100.0,8375.800000000001
0.5,2.9,MNQ,7,62.419999999999995,11.215636014098045,37.580000000000005,2.5804,16.049062160905287,100.0,5741.2
0.5,2.9,MNQ,8,59.12,8.997970230040595,40.88,1.9936,13.443719903691814,100.0,3980.8
0.5,2.9,MNQ,9,55.14,7.862894450489662,44.86,1.6966,11.41258988565366,100.0,3089.8
0.5,2.8,MNQ,1,99.96000000000001,131.07402961184474,0.02,10.4146,136.53736101242487,0.13999999999999999,29243.8
0.5,2.8,MNQ,2,95.82000000000001,65.39803798789397,4.18,18.9782,68.41837476683774,18.34,54934.600000000006
0.5,2.8,MNQ,3,86.74,39.3311044500807,13.26,15.8956,45.515903772113035,77.0,45686.8
0.5,2.8,MNQ,4,77.56,26.439401753481174,22.439999999999998,8.5346,33.413141799264174,98.74000000000001,23603.8
0.5,2.8,MNQ,5,70.24000000000001,18.958143507972665,29.759999999999998,5.1106,25.594842092904944,100.0,13331.8
0.5,2.8,MNQ,6,64.53999999999999,14.51874806321661,35.46,3.3092,20.267375800797776,100.0,7927.6
0.5,2.8,MNQ,7,60.56,11.430647291941876,39.44,2.3694,17.01797923524943,100.0,5108.200000000001
0.5,2.8,MNQ,8,57.08,9.378416257883671,42.92,1.9402,14.055767446654984,100.0,3820.5999999999995
0.5,2.8,MNQ,9,56.49999999999999,7.984070796460177,43.5,1.696,11.757075471698114,100.0,3088.0
0.5,2.7,MNQ,1,99.94,131.50590354212528,0.04,10.3726,137.1426064824634,0.1,29117.8
0.5,2.7,MNQ,2,96.28,64.71707519734109,3.7199999999999998,19.3106,68.36753907180513,15.920000000000002,55931.8
0.5,2.7,MNQ,3,87.74,39.69250056986551,12.26,17.2,45.728093023255816,72.38,49600.0
0.5,2.7,MNQ,4,78.64,27.020345879959308,21.36,9.2658,33.58781756567161,98.2,25797.4
0.5,2.7,MNQ,5,70.58,19.328421649192407,29.42,5.5602,26.027013416783568,99.9,14680.599999999999
0.5,2.7,MNQ,6,66.44,14.925346177001806,33.56,3.5304,20.849648765012464,100.0,8591.2
0.5,2.7,MNQ,7,62.08,11.71520618556701,37.92,2.6202,16.88840546523166,100.0,5860.6
